hashtags:,#fyp,#merida,#yucatan
post_url,username,comment_id,comment_text
carmoncita_75,18471215455037989,https://www.instagram.com/p/C_Re5NVpcW3/,Me desesperan como hablan
erickespinozza,18039973574083155,https://www.instagram.com/p/C_Re5NVpcW3/,Alm... Quitan árboles y el sol pega como lupa sobre las hormigas 😮😢
san_antonio_59,18031263785334277,https://www.instagram.com/p/C_Re5NVpcW3/,😂😂😂😂😂😂😂
jose_fita75,18461626132056345,https://www.instagram.com/p/C_Re5NVpcW3/,Jajajaja sacaron a todos y no se dan cuenta que se apuren por qué la gente ya quiere estar en el parque para comprobar lo caliente sin árboles jajajaja
twice_dosveces9,18455233240022548,https://www.instagram.com/p/C_Re5NVpcW3/,Que se apuren ya las palomas quieren comer 😡☝️
mauricio_1rd,18098130178450862,https://www.instagram.com/p/C_Re5NVpcW3/,Los árboles por que los quitan se pasan pinch gobierno nombre nunca ase nada bien
jey_delac76,18040208288063198,https://www.instagram.com/p/C_Re5NVpcW3/,Saludos  julio
andrew_nl325,18075653062531038,https://www.instagram.com/p/C_Re5NVpcW3/,Gruaaande
juliolealortiz,17970048620782923,https://www.instagram.com/p/C_Re5NVpcW3/,@andrew_nl325 como tu cabeza
andrew_nl325,18046532500928227,https://www.instagram.com/p/C_Re5NVpcW3/,@juliolealortiz wuaññññ ñeñe 🥵 jaja tkm julio
jrovsbns,18129850168367147,https://www.instagram.com/p/C_Re5NVpcW3/,Que hicieron con las palomas ???
juliolealortiz,17986973006559977,https://www.instagram.com/p/C_Re5NVpcW3/,@jrovsbns esta pregunta no me dejará dormir
landita06,18057218050736633,https://www.instagram.com/p/C_Re5NVpcW3/,Les dio viruela del mono 😂
joesantanab,17958707699689905,https://www.instagram.com/p/C_Re5NVpcW3/,"Dale más tiempo en cámara a @cachi290.c , es una celebridad"
juliolealortiz,18360439093110241,https://www.instagram.com/p/C_Re5NVpcW3/,@joesantanab 😂😂😂
