hashtags:,#valladolid,#yucatan,#hotel
post_url,username,comment_id,comment_text
j_palacio_o,18083535292808405,https://www.instagram.com/p/DL3I77_p2EG/,Los mejores chilaquiles del mundo!!!! El restaurante fue el mejor de toda nuestra experiencia en nuestro viaje por todo Quintana Roo.
san_antonio_59,18055364933605106,https://www.instagram.com/p/DL3I77_p2EG/,Hermoso lugar cuando estuve en Valladolid y sus cenotes muy cerca .!!!!
amoyashante,18077489461930007,https://www.instagram.com/p/DL3I77_p2EG/,😍😍😍
france_osorio,18103422661488396,https://www.instagram.com/p/DL3I77_p2EG/,$$$$
albertiuxnava,17906023956084518,https://www.instagram.com/p/DL3I77_p2EG/,Y como andan de precios neneeee
juliolealortiz,18048905024433160,https://www.instagram.com/p/DL3I77_p2EG/,@albertiuxnava rondan los $1800 la noche! 🙌🏽
albertiuxnava,18349202449080145,https://www.instagram.com/p/DL3I77_p2EG/,Y como andan de precio neneeee
shawnnicole13,18046052447247118,https://www.instagram.com/p/DL3I77_p2EG/,Love Casa Italia for dinner & Hotel Posada ❤️🔥
