hashtags:,#merida,#yucatan,#fyp
post_url,username,comment_id,comment_text
yasmin.morenorosete.7,18028864049644273,https://www.instagram.com/p/DH605W5p6gZ/,Un abrazo pásenla bien❤️👏😢
san_antonio_59,18063440302947300,https://www.instagram.com/p/DH605W5p6gZ/,😍😍😍🙌🙌🙌🙌🙌🙌
mariluzmh31,18065065219797077,https://www.instagram.com/p/DH605W5p6gZ/,Por eso quiero mucho a los yucas ❤️
j_carlitxs,18071992624870001,https://www.instagram.com/p/DH605W5p6gZ/,❤️❤️❤️❤️
laloeduardopc,18075224686633684,https://www.instagram.com/p/DH605W5p6gZ/,Un boli de xx laguer porfa
juliolealortiz,18062261444074445,https://www.instagram.com/p/DH605W5p6gZ/,@laloeduardopc 😂🙌🏽
andres_garcia_099,18058110821281657,https://www.instagram.com/p/DH605W5p6gZ/,"Hermano bukele, jajaja"
juliolealortiz,18048899576200827,https://www.instagram.com/p/DH605W5p6gZ/,@andres_garcia_099 😂🙌🏽
joesantanab,17902298430117462,https://www.instagram.com/p/DH605W5p6gZ/,Un boli de plátano 😂😂😂😂😂
juliolealortiz,18347021233158251,https://www.instagram.com/p/DH605W5p6gZ/,@joesantanab no antojes! Jjajaja
amoyashante,18040625396196172,https://www.instagram.com/p/DH605W5p6gZ/,😍😍😍
juliolealortiz,17873690742225984,https://www.instagram.com/p/DH605W5p6gZ/,@amoyashante 😘😘
alexis_ishem,17894502009089144,https://www.instagram.com/p/DH605W5p6gZ/,@juliolealortiz  Unos cawamones para la bandita nooo al cielo padrino. 😂
alexis_ishem,17909049972015068,https://www.instagram.com/p/DH605W5p6gZ/,"@juliolealortiz  para gobernador de Yucatán 😌 Alias ""Bukele"" pero wirooooo!! 📍"
juliolealortiz,17921641059061564,https://www.instagram.com/p/DH605W5p6gZ/,🙌🏽😂😎
koolnaal1024,18297373876246569,https://www.instagram.com/p/DH605W5p6gZ/,Osea si es calor o aun no es calor?? Por qué todo mundo sigue diciendome qué me espero a Mayo??😢
juliolealortiz,18070479250861936,https://www.instagram.com/p/DH605W5p6gZ/,@koolnaal1024 se viene sabroso!
raymundo_cetina,18070990979474799,https://www.instagram.com/p/DH605W5p6gZ/,@koolnaal1024 es el pre-calor. Abril es la probadita
koolnaal1024,17972497754910397,https://www.instagram.com/p/DH605W5p6gZ/,@juliolealortiz si estuvo bien sabroso pero seguimos aqui🥵
sele.lara07,18396099535128076,https://www.instagram.com/p/DH605W5p6gZ/,"Con el calorcito, se aliviano la gente con esos bolis❤️ súper!!!"
edificiosmayas,18113752816462616,https://www.instagram.com/p/DH605W5p6gZ/,❤️❤️❤️❤️
juliolealortiz,18059925407034423,https://www.instagram.com/p/DH605W5p6gZ/,@edificiosmayas 🫶🏼
itskarla_bello,18029613620643739,https://www.instagram.com/p/DH605W5p6gZ/,Bukele jajajajajaja 😂
juliolealortiz,18089594950582029,https://www.instagram.com/p/DH605W5p6gZ/,@itskarla_bello 😂😂
jorgetadeo60,18082555774643401,https://www.instagram.com/p/DH605W5p6gZ/,Primero
juliolealortiz,18045522692579896,https://www.instagram.com/p/DH605W5p6gZ/,@jorgetadeo60 🙌
