hashtags:,#fyp,#entrevista,#humor
post_url,username,comment_id,comment_text
giovannaksanova,18070492216913334,https://www.instagram.com/p/DOb3qV2keUE/,Muy bueno dichos 😂😂😂
san_antonio_59,18059797019108352,https://www.instagram.com/p/DOb3qV2keUE/,Muy bueno
alexis_ishem,18318401260212585,https://www.instagram.com/p/DOb3qV2keUE/,Ya decía yo que mi petito carnívoro era extraño!!!
bren_dah77,18064299812461691,https://www.instagram.com/p/DOb3qV2keUE/,Exactoooo 🔥🔥🔥
alexis_ishem,17987531354845132,https://www.instagram.com/p/DOb3qV2keUE/,"Haber padrino te sabes la de: ""Cria cuervos y invítame una torta de cochinita"". 👀👀? Tons?"
juliolealortiz,18125128078474923,https://www.instagram.com/p/DOb3qV2keUE/,@alexis_ishem jajaja no me la sabía!
_mariaesmeraldamarrufo,18017531384772067,https://www.instagram.com/p/DOb3qV2keUE/,😂😂😂
juliolealortiz,17919830310158707,https://www.instagram.com/p/DOb3qV2keUE/,@_mariaesmeraldamarrufo 😂
alejandroojeda012592,18082781665901467,https://www.instagram.com/p/DOb3qV2keUE/,Copiando formato de paris
patiidc,18284792281279177,https://www.instagram.com/p/DOb3qV2keUE/,Yo
sfarmaugeal,18183893224355525,https://www.instagram.com/p/DOb3qV2keUE/,Árbol que nace torcido crece recto si aplica eh 😮‍💨😮‍💨
cecilio.pech.731,18290150308284050,https://www.instagram.com/p/DOb3qV2keUE/,Mucha lógica
soylidietcauich,18065064074201395,https://www.instagram.com/p/DOb3qV2keUE/,"El @parishurtado_oficial Yucateco, EXACTAMENTE!!!😂😂😂"
maria_bartiz,18055652876244301,https://www.instagram.com/p/DOb3qV2keUE/,@v_alcm  es que yo le hice caso al morro
