hashtags:,#fyp,#merida,#yucatan
post_url,username,comment_id,comment_text
sandypatyjimenez,18063357445684379,https://www.instagram.com/p/DCLIuU5JJL3/,Felicidades .
san_antonio_59,18112412380420994,https://www.instagram.com/p/DCLIuU5JJL3/,Muchas felicidades 👏👏👏👏🎊🎊🎊🎊🎉🎉🎉🎉🎉
jorgemartos22,18126107512379525,https://www.instagram.com/p/DCLIuU5JJL3/,❤️felicidades. Hermosa familia❤️❤️
juliolealortiz,18120350476397278,https://www.instagram.com/p/DCLIuU5JJL3/,@jorgemartos22 muchas gracias amigo 🫶🏼❤️
roselycan8,18085216210523877,https://www.instagram.com/p/DCLIuU5JJL3/,🙌❤️ felicidades
juliolealortiz,17845750890347957,https://www.instagram.com/p/DCLIuU5JJL3/,@roselycan8 gracias 🙌
faboorther,18064378762735491,https://www.instagram.com/p/DCLIuU5JJL3/,"Felicidades por la nueva bebé!! 🍼🎈, abrazo a ambos 😘🎉"
juliolealortiz,17946294302908887,https://www.instagram.com/p/DCLIuU5JJL3/,@faboorther graciaaas 🙌
erwin_sauri,18469741699061928,https://www.instagram.com/p/DCLIuU5JJL3/,Felicidades y bendiciones hermano🙌🏻
juliolealortiz,18064608841737622,https://www.instagram.com/p/DCLIuU5JJL3/,@erwin_sauri muchas gracias!
santiniart,18095625148437231,https://www.instagram.com/p/DCLIuU5JJL3/,"Que gusto bro!!!! Muchas felicidades, la verdad es que no había notado lo romántico que pareces jejeje pero también.me alegra ver cuanto has avanzado desde que nos conocimos en el Cairo, sigue con tu éxito y que hermoso se ve la familia."
juliolealortiz,18037327796230289,https://www.instagram.com/p/DCLIuU5JJL3/,"@santiniart Santi, que gusto leer tus palabras! Te mando un abrazote! Y mis mejores deseos también para ti 🙏🏽"
krayola89,17952669803849402,https://www.instagram.com/p/DCLIuU5JJL3/,Felicidades!! Una princesa 👑 😍
juliolealortiz,18042307250134613,https://www.instagram.com/p/DCLIuU5JJL3/,@krayola89 gracias!!
ax_fiction,18044618777484114,https://www.instagram.com/p/DCLIuU5JJL3/,👏👏👏 felicidades
juliolealortiz,18024414794259321,https://www.instagram.com/p/DCLIuU5JJL3/,@ax_fiction gracias amigo! 🫶🏼
sofialara2974,18057601258873212,https://www.instagram.com/p/DCLIuU5JJL3/,Felicidades Julio soy tu fan ❤️
juliolealortiz,18064132492739886,https://www.instagram.com/p/DCLIuU5JJL3/,@sofialara2974 gracias!
sofialara2974,17939268080921298,https://www.instagram.com/p/DCLIuU5JJL3/,@juliolealortiz me mandas un saludo 😢
sofialara2974,17986609991746054,https://www.instagram.com/p/DCLIuU5JJL3/,Una niña más 🙌🙌🙌
elcocoyol,18067909720598473,https://www.instagram.com/p/DCLIuU5JJL3/,Sea lo que sea felicidades bebo 🙏🏻❤️
juliolealortiz,18101671786415903,https://www.instagram.com/p/DCLIuU5JJL3/,@elcocoyol gracias bb 🫶🏼❤️
navachian,17931614525840910,https://www.instagram.com/p/DCLIuU5JJL3/,Muchas felicidades bendito entre las mujeres❤️
juliolealortiz,17854550997313480,https://www.instagram.com/p/DCLIuU5JJL3/,@navachian muchas gracias 🙌🏽
jossch17,18251409073281398,https://www.instagram.com/p/DCLIuU5JJL3/,Felicidades!!!!!
juliolealortiz,18442980217071044,https://www.instagram.com/p/DCLIuU5JJL3/,@jossch17 gracias!
mariannamarrufo,18046139063304319,https://www.instagram.com/p/DCLIuU5JJL3/,"Felicidades Julio y Amoya, María Inés tendrá una amiga 💖💖💖"
juliolealortiz,18039312934998811,https://www.instagram.com/p/DCLIuU5JJL3/,@mariannamarrufo Muchas gracias Mariana! Así será 🙌
gerryoc,18036491072516944,https://www.instagram.com/p/DCLIuU5JJL3/,"Tremendo disfraz, muchas felicidades hermano"
juliolealortiz,18014049284401839,https://www.instagram.com/p/DCLIuU5JJL3/,@gerryoc salió alguien que se parecía a mi en el video
gerryoc,18067713553646171,https://www.instagram.com/p/DCLIuU5JJL3/,"@juliolealortiz el original, tu eres el.pirata"
juliolealortiz,18073559056592660,https://www.instagram.com/p/DCLIuU5JJL3/,@gerryoc 😂😂😂 con su camarógrafo
amoyashante,18025467776608542,https://www.instagram.com/p/DCLIuU5JJL3/,Most beautiful and fun night ever. I love you. ❤️❤️❤️
juliolealortiz,18076316326599376,https://www.instagram.com/p/DCLIuU5JJL3/,@amoyashante 😍😘😘❤️
wenssolorzano,18030205436456782,https://www.instagram.com/p/DCLIuU5JJL3/,Muchas felicidades por su bebita!!! Les queremos mucho ❤️❤️❤️❤️
juliolealortiz,18283433236215020,https://www.instagram.com/p/DCLIuU5JJL3/,@wenssolorzano 🫶🏼🫶🏼
