https://www.instagram.com/p/Ce2CKIDDcTn/,hashtags:,#genderreveal
username,comment_id,text
herrerapachecomiguel,18017784893055888,Muchas felicidades hechale ganas
marytps,17985664468481987,Muchas felicidades x esa gran bendición 🥳
babyacid,17934951962209727,Muchísimas felicidades 😍😍😍
juliolealortiz,18230582245139018,@babyacid gracias!
_alemagana,18171285037231227,"En tu sonrisa se nota lo esperada que es, y lo amada que será, muchas felicidades a ambos 🥰"
dayaniral,17865288806696416,Felicidades
davidsegovia21,17961084496743651,Muchísimas felicidades amigo!!!!! Te mando un fuerte abrazo y muchas bendiciones para la princesa que viene en camino y para la feliz mamá!!! Un abrazo grande a todos ❤️❤️❤️🤗🤗🤗🤗
jessicacervera,17951007982938222,"🙌 será la luz de tus ojos😍😍😍 que bello, bienvenida esa princesita..."
bekitadm,18287101606068670,Muchísimas felicidades!😍
jairescamillab,17940989564111646,😍😍
valeria_reyes_f94,17986373461501543,Muchas felicidades 🥹👑💜
tnitabug,18040136761351905,Felicidades 😍
juliolealortiz,17953004461799595,@tnitabug gracias por tu apoyo en esto ☺️🙌🏽
missmarikine,18171721576209253,Felicidades 💝
tatiklek,17890851977590925,👏felicidades 😍..
nativenomadsvlog,17910455246545898,❤️❤️❤️
jesicarvictoria,17943861827028549,Muchas felicidades!!
oswaldomatu,17933334863263241,❤️❤️❤️❤️❤️❤️
outnumberedbytinyhumans,17859800033755439,Congratulations ❤️
cesarperezz_,18197531530166540,"Muchas felicidades a ambos🎉🎊🥳, un fuerte abrazo"
juliolealortiz,18143379037250939,"@cesarperezz_ Gracias hermoso! 2 de vuelta, se te extraña!!"
fichiman,18035818129329900,"Muchas felicidades Hermano, cuida mucho a la familia, mis mejores deseos siempre, te mando un fuerte abrazo 🙌❤️"
juliolealortiz,17972777098607935,"@fichiman Hermano!! Agradezco tus palabras, te mando un abrazo de vuelta! Y así será"
sarafraga,18203700361084731,Felicidades hermano! Te mando un fuerte abrazo 🤗
ferdumont_,17926814765235973,Muchas felicidades 🎊 a ambos un abrazo
juliolealortiz,18013767055411465,@fernandodummont Gracias amigo!
majocortesn,17927144297464448,"Felicidades a ambos❤️ que emoción, ya quiero que llegue 😍"
juliolealortiz,18275406883079455,"@majocortesn Muchas gracias Majo! Yo también, estoy muy muy emocionado!"
crayo_leen,18214282114151370,"❤️🙌 ganeeeeé, lo sabía 😍 muchas felicidades a su hermosa familia, qué felicidad 🤩💖 de corazón espero todo salga bien, ya verán que sí 💟💟💟💟"
juliolealortiz,17984847310480054,@crayo_leen muchas gracias Carito!! Estamos seguros que así será!
amoyashante,17953465786793029,Te amo😘
juliolealortiz,17962490137696662,@amoyashante Les amo más ❤️
amoyashante,17931577763493741,@juliolealortiz 🥰🥰🥰
