https://www.instagram.com/p/DPfPmphjqHT/,hashtags:,#disney
username,comment_id,text
eldanniedarko,18087806113915509,Buena escapadita bebo 🙌🏻
juliolealortiz,18064454213589229,@eldanniedarko INCREÍBLE BEBO!
mommyrelax,18016795286603904,Que lindo Julio!!! Los sueños se cumplen 🙏🏻🙏🏻🙏🏻🙏🏻
juliolealortiz,18067548227033771,@mommyrelax gracias Brenda! Saludos! Así es! 🙌🏽
mommyrelax,17953727862002116,@juliolealortiz vayan por más sueños juntos!!! Mil bendiciones 🔥
garaje.3323tx,18083990051109105,👏👏👏👏👏
san_antonio_59,18081707552502283,Saludos y espero te te guste el resto de parques 😍😍😍😍😍😍🙌🙌🙌🙌🙌
juliolealortiz,18073878725148653,@san_antonio_59 gracias amigoo! Abrazote!
amoyashante,18062581346611124,Te amo😘😘
juliolealortiz,18069439271333937,@amoyashante yo maaaaas ❤️
nique.retreats,18024643106743544,Awwww!! So happy for you/y’all!!!
juliolealortiz,18056786036555256,@nique.retreats thank you Donique 🙏🏽
pedroantonioleo,17950618854040101,"Eres un ídolo cabron! Sigue así, vas a romperla. Ojalá pronto hacer collab🤩🤟🏻"
juliolealortiz,18060151940573044,@pedroantonioleo abrazote! Gracias!!
