hashtags:,#fyp,#humor,#parati
post_url,username,comment_id,comment_text
marcemome,18471665773037226,https://www.instagram.com/p/DAW0_kopkfd/,🤣
leidymatoschan,18313473460090126,https://www.instagram.com/p/DAW0_kopkfd/,Pobre panda 🐼 ya lo cargo el payaso cuando yega en su casa con su esposa jajjaja
stephsantanag,18038410381933398,https://www.instagram.com/p/DAW0_kopkfd/,Ya le cargo la verdura a 🐼 jajajaja
azuetagizmo,18034836910989520,https://www.instagram.com/p/DAW0_kopkfd/,Su kech jajajaja
edup0515,18063929938634704,https://www.instagram.com/p/DAW0_kopkfd/,Bien orgullosa diciendo que ella es el Xum😂
juliolealortiz,18041030021010995,https://www.instagram.com/p/DAW0_kopkfd/,@edup0515 😂
victorgurubel,17974553159775701,https://www.instagram.com/p/DAW0_kopkfd/,"Jajaja pobre 🐼  ya lo torcieron,jajajajno lo pongas"
juliolealortiz,17966114225670558,https://www.instagram.com/p/DAW0_kopkfd/,@victorgurubel 😂😂😂
dxlssvz_,18028245923517601,https://www.instagram.com/p/DAW0_kopkfd/,"""Bueno el chisme, imaginate que se entere la doña"" 🔥. (Saludosss)"
juliolealortiz,17898106544980997,https://www.instagram.com/p/DAW0_kopkfd/,Imagínate 😂
joesantanab,18043882799050654,https://www.instagram.com/p/DAW0_kopkfd/,Tremendo el panda😂
juliolealortiz,18419668138072695,https://www.instagram.com/p/DAW0_kopkfd/,@joesantanab jajajjajajajajaajjaa 😂😂
