hashtags:,#fyp,#yucatan,#humor
post_url,username,comment_id,comment_text
omibolc,18067005602066410,https://www.instagram.com/p/DC2SCOsJIfd/,El Pirrurris (Luis de alba) es yucateco? 🤢🤢🤢🤢
martinezlucio,18046128776588187,https://www.instagram.com/p/DC2SCOsJIfd/,"A la mdr, hermana! Qué escándalo! Jajaja"
javlt,18042538913615330,https://www.instagram.com/p/DC2SCOsJIfd/,Elllla!
ah_he_5791,18062779235299135,https://www.instagram.com/p/DC2SCOsJIfd/,Tssssssss
gerardosantoyos,18109797565487106,https://www.instagram.com/p/DC2SCOsJIfd/,@chaletahmek85 😮
pepeacacio,18487654558058199,https://www.instagram.com/p/DC2SCOsJIfd/,🥸🥸🥸🥸🥸
josue.suarez_81,18152143327324348,https://www.instagram.com/p/DC2SCOsJIfd/,Los yucas son parecidos jejejej
carlos.lzc,18480516427036664,https://www.instagram.com/p/DC2SCOsJIfd/,Aún me quedan esperanzas jajajaa …. A ella le dieron el IPhone 😂😂😂😂
wer360,18160287574328936,https://www.instagram.com/p/DC2SCOsJIfd/,"Trae el mismo corte de cabello que Ángela Aguilar, qué esperaban ? 😂😂"
valeria.inda.7,18046188269580699,https://www.instagram.com/p/DC2SCOsJIfd/,@wer360 😂😂😂😂😂😂😂😂😂😂
martinezlucio,17949406853953470,https://www.instagram.com/p/DC2SCOsJIfd/,"@wer360 Ah no, pero la hermana aquí, es mexa! La k-lera aquella es argentina."
delreysaul11,18302300782229393,https://www.instagram.com/p/DC2SCOsJIfd/,"Inventada la Nicky, ni ella se la cree hahaha"
jor_a_lopez,17880802026226901,https://www.instagram.com/p/DC2SCOsJIfd/,Ese Nicki es????
elizalde_nunez,18082906153569630,https://www.instagram.com/p/DC2SCOsJIfd/,Ora!
jboones23,17940824273824820,https://www.instagram.com/p/DC2SCOsJIfd/,Pelanaaaaaa
jacobabisaicanofernandez,18072799819631179,https://www.instagram.com/p/DC2SCOsJIfd/,Que asco
tonymexx213,18080649349603987,https://www.instagram.com/p/DC2SCOsJIfd/,👏👏👏👏
jamidali,18047267584930753,https://www.instagram.com/p/DC2SCOsJIfd/,No lo sé Rick… eso está bien fake 🙄
estefaneevee,18067971154738157,https://www.instagram.com/p/DC2SCOsJIfd/,"Uaaaaay nena, eso no se haceeeeee"
martinezlucio,18086054374716489,https://www.instagram.com/p/DC2SCOsJIfd/,@goliketchum Claro que sí! jajajaja
ricardoreynaga__,18060907462862148,https://www.instagram.com/p/DC2SCOsJIfd/,que suerte la tuya ya ni yo
sabine.aaa,18025117871553784,https://www.instagram.com/p/DC2SCOsJIfd/,Aprende a hablar primero tus temas son de muy mala calaña naco
vicgochan,18386991514097378,https://www.instagram.com/p/DC2SCOsJIfd/,"Waaaaay  Nadie sabía de Nicki, todos quedamos 😱"
ale_sita9,18029134334532178,https://www.instagram.com/p/DC2SCOsJIfd/,@paola.c.alejandro jajajaj como habla el
ibogacarlos,18079408111597421,https://www.instagram.com/p/DC2SCOsJIfd/,OBSURA COMO TÚ QUESO WAY MI NENE
5.0_ranita,18052191478988172,https://www.instagram.com/p/DC2SCOsJIfd/,Es hombre oh mujer
by_xrcos777,18102011587472015,https://www.instagram.com/p/DC2SCOsJIfd/,🤢🤮
juank_mexico,18010436459665990,https://www.instagram.com/p/DC2SCOsJIfd/,La agarró tiernita😂😂😂
josearturoig,18016716893645542,https://www.instagram.com/p/DC2SCOsJIfd/,oscuda
botellofelix,17938542377936813,https://www.instagram.com/p/DC2SCOsJIfd/,😂😂😂😂😂
grea1c0,17909463551960300,https://www.instagram.com/p/DC2SCOsJIfd/,Q perrAAAA SUERTE 🍀 CHIN ADA MAD REEE
jassielandresbp,18048566987025090,https://www.instagram.com/p/DC2SCOsJIfd/,@carolinaortp
mamifabi444,18064982413696147,https://www.instagram.com/p/DC2SCOsJIfd/,pinshi niki
elcaballeropobre,18388160617103253,https://www.instagram.com/p/DC2SCOsJIfd/,Se parece a mi tía la Chofis...😂😂
rodro889,18065527486704344,https://www.instagram.com/p/DC2SCOsJIfd/,Insta de Nicky necesitamos el chisme completo después de esto
rodro889,17979340238788434,https://www.instagram.com/p/DC2SCOsJIfd/,Nicky es cosa seriasa
ericklutin,18041152523007907,https://www.instagram.com/p/DC2SCOsJIfd/,"Tremendo el Nicolas,jajajaja."
_osmarmc,18041633849469755,https://www.instagram.com/p/DC2SCOsJIfd/,Traviezilla nicky
crcardozajj,18045379225927033,https://www.instagram.com/p/DC2SCOsJIfd/,Que es gay 😁
ramirogarcia8073,17986953674759560,https://www.instagram.com/p/DC2SCOsJIfd/,No pues que mujer tan fácil 😂😂😂😂😂
sandypatyjimenez,17994621782574494,https://www.instagram.com/p/DC2SCOsJIfd/,Muy valiente su confesión. 👏👏
urielmartinezrodriguez,18052572361972046,https://www.instagram.com/p/DC2SCOsJIfd/,El aluciné del vicio
christhellh2,18109099747433206,https://www.instagram.com/p/DC2SCOsJIfd/,😂😂😂 se pasó
geeneesiisvaazqeez,18471940936046886,https://www.instagram.com/p/DC2SCOsJIfd/,Muy alucin el vato
jor_a_lopez,18052506479037024,https://www.instagram.com/p/DC2SCOsJIfd/,@geeneesiisvaazqeez lo mismo digo
julio333z,18024784223273676,https://www.instagram.com/p/DC2SCOsJIfd/,La doña que va hablando por teléfono hasta la volteo a ver.
yosoycui,18008945813654392,https://www.instagram.com/p/DC2SCOsJIfd/,
omibolc,18067005602066410,https://www.instagram.com/p/DC2SCOsJIfd/,El Pirrurris (Luis de alba) es yucateco? 🤢🤢🤢🤢
martinezlucio,18046128776588187,https://www.instagram.com/p/DC2SCOsJIfd/,"A la mdr, hermana! Qué escándalo! Jajaja"
javlt,18042538913615330,https://www.instagram.com/p/DC2SCOsJIfd/,Elllla!
ah_he_5791,18062779235299135,https://www.instagram.com/p/DC2SCOsJIfd/,Tssssssss
gerardosantoyos,18109797565487106,https://www.instagram.com/p/DC2SCOsJIfd/,@chaletahmek85 😮
pepeacacio,18487654558058199,https://www.instagram.com/p/DC2SCOsJIfd/,🥸🥸🥸🥸🥸
josue.suarez_81,18152143327324348,https://www.instagram.com/p/DC2SCOsJIfd/,Los yucas son parecidos jejejej
carlos.lzc,18480516427036664,https://www.instagram.com/p/DC2SCOsJIfd/,Aún me quedan esperanzas jajajaa …. A ella le dieron el IPhone 😂😂😂😂
wer360,18160287574328936,https://www.instagram.com/p/DC2SCOsJIfd/,"Trae el mismo corte de cabello que Ángela Aguilar, qué esperaban ? 😂😂"
valeria.inda.7,18046188269580699,https://www.instagram.com/p/DC2SCOsJIfd/,@wer360 😂😂😂😂😂😂😂😂😂😂
martinezlucio,17949406853953470,https://www.instagram.com/p/DC2SCOsJIfd/,"@wer360 Ah no, pero la hermana aquí, es mexa! La k-lera aquella es argentina."
delreysaul11,18302300782229393,https://www.instagram.com/p/DC2SCOsJIfd/,"Inventada la Nicky, ni ella se la cree hahaha"
jor_a_lopez,17880802026226901,https://www.instagram.com/p/DC2SCOsJIfd/,Ese Nicki es????
elizalde_nunez,18082906153569630,https://www.instagram.com/p/DC2SCOsJIfd/,Ora!
jboones23,17940824273824820,https://www.instagram.com/p/DC2SCOsJIfd/,Pelanaaaaaa
jacobabisaicanofernandez,18072799819631179,https://www.instagram.com/p/DC2SCOsJIfd/,Que asco
tonymexx213,18080649349603987,https://www.instagram.com/p/DC2SCOsJIfd/,👏👏👏👏
jamidali,18047267584930753,https://www.instagram.com/p/DC2SCOsJIfd/,No lo sé Rick… eso está bien fake 🙄
estefaneevee,18067971154738157,https://www.instagram.com/p/DC2SCOsJIfd/,"Uaaaaay nena, eso no se haceeeeee"
martinezlucio,18086054374716489,https://www.instagram.com/p/DC2SCOsJIfd/,@goliketchum Claro que sí! jajajaja
ricardoreynaga__,18060907462862148,https://www.instagram.com/p/DC2SCOsJIfd/,que suerte la tuya ya ni yo
sabine.aaa,18025117871553784,https://www.instagram.com/p/DC2SCOsJIfd/,Aprende a hablar primero tus temas son de muy mala calaña naco
vicgochan,18386991514097378,https://www.instagram.com/p/DC2SCOsJIfd/,"Waaaaay  Nadie sabía de Nicki, todos quedamos 😱"
ale_sita9,18029134334532178,https://www.instagram.com/p/DC2SCOsJIfd/,@paola.c.alejandro jajajaj como habla el
ibogacarlos,18079408111597421,https://www.instagram.com/p/DC2SCOsJIfd/,OBSURA COMO TÚ QUESO WAY MI NENE
5.0_ranita,18052191478988172,https://www.instagram.com/p/DC2SCOsJIfd/,Es hombre oh mujer
by_xrcos777,18102011587472015,https://www.instagram.com/p/DC2SCOsJIfd/,🤢🤮
juank_mexico,18010436459665990,https://www.instagram.com/p/DC2SCOsJIfd/,La agarró tiernita😂😂😂
josearturoig,18016716893645542,https://www.instagram.com/p/DC2SCOsJIfd/,oscuda
botellofelix,17938542377936813,https://www.instagram.com/p/DC2SCOsJIfd/,😂😂😂😂😂
grea1c0,17909463551960300,https://www.instagram.com/p/DC2SCOsJIfd/,Q perrAAAA SUERTE 🍀 CHIN ADA MAD REEE
jassielandresbp,18048566987025090,https://www.instagram.com/p/DC2SCOsJIfd/,@carolinaortp
mamifabi444,18064982413696147,https://www.instagram.com/p/DC2SCOsJIfd/,pinshi niki
elcaballeropobre,18388160617103253,https://www.instagram.com/p/DC2SCOsJIfd/,Se parece a mi tía la Chofis...😂😂
