hashtags:,#fyp,#yucatan,#humor
post_url,username,comment_id,comment_text
michpinedo,18057881011918961,https://www.instagram.com/p/DDX3fWwJhnZ/,😂😂😂
jorgemartos22,18032294525156674,https://www.instagram.com/p/DDX3fWwJhnZ/,😂😂
juliolealortiz,18262830487251802,https://www.instagram.com/p/DDX3fWwJhnZ/,@jorgemartos22 comiste sano amigo? 👀😂
jorgemartos22,17995061948722319,https://www.instagram.com/p/DDX3fWwJhnZ/,@juliolealortiz 😂😂. Shh🤭
elrazikid,18134890123338479,https://www.instagram.com/p/DDX3fWwJhnZ/,JAJAAJAJJAA casi estamos igual
juliolealortiz,17884153071088360,https://www.instagram.com/p/DDX3fWwJhnZ/,@elrazikid con lo de comer SANO?👀😮‍💨😂
elcocoyol,18042707176995138,https://www.instagram.com/p/DDX3fWwJhnZ/,"1 propósito en especial me llama la atención, no te diré cuál 😂"
juliolealortiz,18336715276146670,https://www.instagram.com/p/DDX3fWwJhnZ/,@elcocoyol jajajajajajaja! Tuvimos el mismo y lo cumplimos? 👀😂
poncebrian91,18098293336490757,https://www.instagram.com/p/DDX3fWwJhnZ/,Comer que 💀☠️
cassgoodluck,18043483067277279,https://www.instagram.com/p/DDX3fWwJhnZ/,😂
juliolealortiz,18253994305284821,https://www.instagram.com/p/DDX3fWwJhnZ/,@cassgoodluck 😂😂
amoyashante,18047802902037755,https://www.instagram.com/p/DDX3fWwJhnZ/,😂😂
juliolealortiz,18049077308290620,https://www.instagram.com/p/DDX3fWwJhnZ/,@amoyashante 😂😂
vitodisena,18028958999447804,https://www.instagram.com/p/DDX3fWwJhnZ/,✅ D̶e̶j̶a̶r̶ ̶d̶e̶ decir groserías
juliolealortiz,18115834630424204,https://www.instagram.com/p/DDX3fWwJhnZ/,@vitodisena 😂😂😂😂
