https://www.instagram.com/p/Bq6ONYhh3fv/,hashtags:,#slackline
username,comment_id,text
feergongora,18006244486062245,Quiero intentarlo 😟
juliolealortiz,17991105526105656,@feergongora amigo! La otra semana se arma y te aviso!
_luisfernandocr,18007685203035085,Si estuviera ahí te corto la soga😂
juliolealortiz,18005966338042479,@fernando.cr11 Jajaja! La mamada
vitodisena,17991954529111411,"No engañas a nadie, esa madre está En el piso"
juliolealortiz,18002402281065788,"@caracol_deadman Jajaja! Por no haber ido al taller, leo este tipo de comentarios."
vitodisena,18007062367010187,@juliolealortiz claro que fui
josetwitts,18008069437051792,"Gran talento amigo, te felicito!"
