hashtags:,#yucatan,#merida,#influencers
post_url,username,comment_id,comment_text
saloningridalvarado,17866857066255426,https://www.instagram.com/p/C_Wr3ogp9oA/,"Peeo porque los influences yucatecos son un poco mamones ??? 
Cuando los vez en persona por ejemplo me tope a unos en ixma y te ven con cara de fooooo"
yoel_oxte15,17913806013041355,https://www.instagram.com/p/C_Wr3ogp9oA/,La tal Vicky Wolff ya hartó.
keviinjz,17862679998278219,https://www.instagram.com/p/C_Wr3ogp9oA/,La Vicky Wolf es NEFASTA
mdelagm,18086753056523571,https://www.instagram.com/p/C_Wr3ogp9oA/,No se dice “más sin embargo” se dice “sin embargo”
guimogamboa,18046365041007293,https://www.instagram.com/p/C_Wr3ogp9oA/,La payasa de la Lylofa
capiaereo,17936671727800611,https://www.instagram.com/p/C_Wr3ogp9oA/,"No tienes que poner asento neutro, el asento Yucateco es muy bonito, porque ocultarlo, estás mal ."
kareaguilor,17873132721174278,https://www.instagram.com/p/C_Wr3ogp9oA/,Pero terminan siendo secretarios de alguna dependencia del gobierno de Yucatán como lo es ahora el Rulo jajajajaa
salmacis_undies,17889480858092720,https://www.instagram.com/p/C_Wr3ogp9oA/,Cuando  vienen a dar su rol en la Wawa?
cristelray,17861281008230932,https://www.instagram.com/p/C_Wr3ogp9oA/,Pedrada a la ridícula de Lylo jajaja amé ❤️
naye_alex14,17859860409185079,https://www.instagram.com/p/C_Wr3ogp9oA/,No como una aquella que arta
a.e.quezada,18033575024180563,https://www.instagram.com/p/C_Wr3ogp9oA/,No como la ridicula de @lylocyv
chris_albornoz_,18062320540715011,https://www.instagram.com/p/C_Wr3ogp9oA/,Cómo la Vicky wolf
eljuanamaro,18037235108112842,https://www.instagram.com/p/C_Wr3ogp9oA/,Vengo a saludarlos y a desearles mucho éxito en su carrera de VERGUENCERS 😘 les sale muy bien
fernandobuenfilgongora,18328325935147744,https://www.instagram.com/p/C_Wr3ogp9oA/,Como el Mamon de Xich o Shich.
apachegeronimo69,18054859687752330,https://www.instagram.com/p/C_Wr3ogp9oA/,Una pregunta ustedes son yucatecos..??
juliolealortiz,18112910653392542,https://www.instagram.com/p/C_Wr3ogp9oA/,@apachegeronimo69 100% 😎
eljuanamaro,17931667559808075,https://www.instagram.com/p/C_Wr3ogp9oA/,@juliolealortiz creí que eras ruso bro
apachegeronimo69,17853656997259398,https://www.instagram.com/p/C_Wr3ogp9oA/,@eljuanamaro jajaja yuca.mayero..saludos
joaquinlopezmanrique,18282210730232984,https://www.instagram.com/p/C_Wr3ogp9oA/,"Pero cuando estabas en México, no hablabas con acento yucateco como ahora ...."
eljuanamaro,17913435644994980,https://www.instagram.com/p/C_Wr3ogp9oA/,@joaquinlopezmanrique el acento AUTÉNTICO no es algo que se prenda ni se apaga… FALSO @elrulosorio
angel_matuxd,18098394967450462,https://www.instagram.com/p/C_Wr3ogp9oA/,Tanto como el soco y cozumeleño abusan del asentó  y el cozumeleño ni yucateco es
chulelaguna,18082210708504545,https://www.instagram.com/p/C_Wr3ogp9oA/,El de este canal aclaro me gustan ver tus Reels pero si abusas a veces del acento pero machín atención son yucateco pero no vivo aya
eljuanamaro,18061414672654581,https://www.instagram.com/p/C_Wr3ogp9oA/,"@chulelaguna es un acento falso, ese wey sí sabe decir la R a la perfección pero finge"
nazario.hernandez.33,18058949026736551,https://www.instagram.com/p/C_Wr3ogp9oA/,"Rulo, te han dicho que tienes parecido físico a  palazuelos?"
heydercardos,17889013986085561,https://www.instagram.com/p/C_Wr3ogp9oA/,Yo claramente lei sus labios 😂
juliolealortiz,17891594102999864,https://www.instagram.com/p/C_Wr3ogp9oA/,@heydercardos 😂😂
yucarnal,18196448821294255,https://www.instagram.com/p/C_Wr3ogp9oA/,Maaaa se ve bueno 🎥😎
blancaestela5460,18046643809912873,https://www.instagram.com/p/C_Wr3ogp9oA/,"El Rulo, muchos años sin verlo.
Me gustaba cuando venga la alegría, tenía buenos conductores"
jonathan.7977,18050934616854864,https://www.instagram.com/p/C_Wr3ogp9oA/,"Quién pido comida gratis, jajaja chisme completo"
juliolealortiz,18331867243179738,https://www.instagram.com/p/C_Wr3ogp9oA/,@jonathan.7977 👀😮‍💨
joseguadalupeucmay,18018273821240378,https://www.instagram.com/p/C_Wr3ogp9oA/,"Maaaaa, neeeeeeee bendiciones las wish wiros"
juliolealortiz,18035070824473854,https://www.instagram.com/p/C_Wr3ogp9oA/,@joseguadalupeucmay 🙌😎
robalarcon_,18058429213680157,https://www.instagram.com/p/C_Wr3ogp9oA/,Y esa sorpresota?
juliolealortiz,18083788729500939,https://www.instagram.com/p/C_Wr3ogp9oA/,@robalarcon_ MI VI DA
jpbs201,17941953335854344,https://www.instagram.com/p/C_Wr3ogp9oA/,VENGA MIS QUERIDOS YUCATECOS SOY FAN DE AMBOS !!! ARRIBA YUCATAN Y PUEBLOS QUE LO ACOMPAÑAN!!!
juliolealortiz,18366190531111218,https://www.instagram.com/p/C_Wr3ogp9oA/,@jpbs201 Abrazoteee!
yosmarprianti,17896164567052167,https://www.instagram.com/p/C_Wr3ogp9oA/,Maaaa que pasó ahí @eljuanamaro 😂
eljuanamaro,17945847875747383,https://www.instagram.com/p/C_Wr3ogp9oA/,@yosmarprianti hambrientos de FOCO
joesantanab,18030429809191846,https://www.instagram.com/p/C_Wr3ogp9oA/,"El ruuuuulo, que buena charla, fan del @elrulosorio"
juliolealortiz,17935372271909966,https://www.instagram.com/p/C_Wr3ogp9oA/,@joesantanab estuvo tremendo 😮‍💨
