hashtags:,#merida,#yucatan,#fyp
post_url,username,comment_id,comment_text
ericatroi,17926617417021295,https://www.instagram.com/p/DEgI_-lJGeU/,"OJO QUE A LOS 3 MESES A LAS BICICLETAS SE LES VA LA PINTURA Y BICI MAYA NO TE DA GARANTIA. PREGUNTEN CONDICIONES DE GARANTIA ANTES DE COMPRAR
@bicimaya"
san_antonio_59,17854551186308024,https://www.instagram.com/p/DEgI_-lJGeU/,😍😍😍😍😍👏👏👏👏
chefmiguelpalomo,17958855461850871,https://www.instagram.com/p/DEgI_-lJGeU/,Era el superaki?
ericksixto,17845776390374464,https://www.instagram.com/p/DEgI_-lJGeU/,🙌🙌🙌
juliolealortiz,18053357869845043,https://www.instagram.com/p/DEgI_-lJGeU/,@ericksixto 😍🙏🏽
diego.alemi,18051609392302965,https://www.instagram.com/p/DEgI_-lJGeU/,Neneee ahí voy a ir por mi bici.  Neneeee
juliolealortiz,18087697285545255,https://www.instagram.com/p/DEgI_-lJGeU/,@diego.alemi ufff!! Para rodar juntos!
oswaldomatu,17973407270807588,https://www.instagram.com/p/DEgI_-lJGeU/,👏👏👏👏👏
juliolealortiz,18086616799557229,https://www.instagram.com/p/DEgI_-lJGeU/,@oswaldomatu 🚲🚲
amoyashante,17943849389927647,https://www.instagram.com/p/DEgI_-lJGeU/,😍😍😍
juliolealortiz,18143210680369206,https://www.instagram.com/p/DEgI_-lJGeU/,@amoyashante 😍😘
caneksaid,18047122208276181,https://www.instagram.com/p/DEgI_-lJGeU/,Me hablan
juliolealortiz,18141070705329093,https://www.instagram.com/p/DEgI_-lJGeU/,😎🙌🏽
