https://www.instagram.com/p/C_OYLWLp8N6/,hashtags:,#imontheroadinmx
username,comment_id,text
josesitososa,18060308275724656,Cuidado con Indrive son ladrones
jose_fita75,18055396522775021,👏
nachochardin_,18014104019308499,"Julio! Quise contactarte pero no obtuve respuesta,podrías escribirme al privado ? Un Abrazo 💯"
twice_dosveces9,18032192123323232,Yo hoy comí unos papatzules uff riquísimos 😍
polifabricio,18010170953629116,Quisiera ser Indrive para llevarte 🔥🔥
juliolealortiz,18059107213728223,@polifabricio 😮‍💨😮‍💨😮‍💨
alvarocarcano,18030510632469784,Cuánto para que me lleves 😍
juliolealortiz,18040070668999750,@alvarocarcano ufff 😍
heyiamsarai,17979310208604631,"Jajaja $30 a Cancún, que ganga😂😂"
juliolealortiz,18014917037288159,@heyiamsarai 😂🙌
robalarcon_,17873799348154093,¿Me llevas?
juliolealortiz,18248244862248318,@robalarcon_ a Cancún o a mi casa?
ericksixto,18038806444891529,"$30 de Merida a Cancun, 10/10 🙌"
juliolealortiz,18039606467303135,@ericksixto yessss 😂🙌
jesuisartour,18026086427077825,Pensé q iba solicitar un Káb...pero Kép quedé
diego.alemi,18008171096373236,Venga. 🙌🙌🙌
juliolealortiz,17936496464869956,@diego.alemi 🙏🏽
gerryoc,18335032174126038,Yo siempre pido in drive
juliolealortiz,18036134054489491,@gerryoc de lujo 😎🙏🏽
juanpa__hdz_zorrilla,17845751601293926,😂😂😂🔥🔥🔥
juliolealortiz,18034013387475964,@juan_pablo_hdz_z amigooo 😍🙌
daco_cano,18013670192575649,Siempre es la mejor opción más rápido y barato jejeje
juliolealortiz,18054303403774397,@daco_cano ufff 🔥
ax_fiction,18302939326167451,":o descargando. ✅Me queda perfecto para los miércoles y sábados de liga, especialmente este sábado, y más con eso de que subieron las multas 🥹"
juliolealortiz,18033631763325041,@ax_fiction 😱 buenísimo amigo!
chefmiguelpalomo,18363096292105352,🔥🔥
juliolealortiz,18076315150531796,@chefmiguelpalomo 🙏🏽😎
vitodisena,18027337220340034,"Yo me eché una chelas y me dió el mal del borracho, pero igual llegué a mi casa 🐌"
juliolealortiz,17922605354958676,@vitodisena 😮‍💨😮‍💨😮‍💨
gab_mndz,17865832377194515,Creo que la conozco jajajaj saludos🙌
juliolealortiz,18039258590047076,@gab_mndz buenísimo 😂🙌
gab_mndz,17846460078291143,@juliolealortiz saludos un gusto conocerte.
joesantanab,18043081603943022,Buen viajecito a Cancún
juliolealortiz,18037239482504192,@joesantanab 😂🙌
amoyashante,18046470943919552,Guapo!!😍😍
juliolealortiz,17906533605001580,@amoyashante 😘😘
