hashtags:,#fyp,#merida,#yucatan
post_url,username,comment_id,comment_text
gregoriachi3,17908532799100160,https://www.instagram.com/p/DBSPf82pusA/,Saludos desdé peto yucatan
tere_figueroa30,18054275755765327,https://www.instagram.com/p/DBSPf82pusA/,Años sin ver a Rulo bendiciones
eduardoantonioojedacuxim,17991431162720500,https://www.instagram.com/p/DBSPf82pusA/,"Falto tekit... Es que ahí
Pura fiel hay"
robertojosetorresquintero,17953753067839140,https://www.instagram.com/p/DBSPf82pusA/,Y dónde dejo el cuerpazo el.rulo jajaa
dm089156,18103370695450195,https://www.instagram.com/p/DBSPf82pusA/,Jjj
zaraleeh06,18011791118642241,https://www.instagram.com/p/DBSPf82pusA/,😂😂😂😂😂
piacanto,18059399566767454,https://www.instagram.com/p/DBSPf82pusA/,😂👌
jaguayo_vega80,18036817601231966,https://www.instagram.com/p/DBSPf82pusA/,"Te faltó , Calotmul.."
santiagoucanchi,17861027265254257,https://www.instagram.com/p/DBSPf82pusA/,Este wey Mamá es Tenabo Campeche
lovesunshine1983,18278763094243953,https://www.instagram.com/p/DBSPf82pusA/,Ajajajajajaaj👏😂
lisandrolopez823,18044787176025985,https://www.instagram.com/p/DBSPf82pusA/,@juliolealortiz te faltó Tekax 😔
berthamillam,17906472261043527,https://www.instagram.com/p/DBSPf82pusA/,"Te faltó Seyé, acanceh"
juliolealortiz,17969398400662743,https://www.instagram.com/p/DBSPf82pusA/,@berthamillam cierto 😂😂
joesantanab,18058804213793922,https://www.instagram.com/p/DBSPf82pusA/,Dicen que ya andan cambiando de nombre los municipios por que ahora mama es tenabo
juliolealortiz,17882073579139483,https://www.instagram.com/p/DBSPf82pusA/,@joesantanab 😂😂😂😂😂
