hashtags:,#HyattRegencyMerida,#StaycationGoals,#FamilyFun
post_url,username,comment_id,comment_text
adria_nadler,17986924474849751,https://www.instagram.com/p/CrT4Cg0Jas9/,Angels 😍🥰
juliolealortiz,17954395535381110,https://www.instagram.com/p/CrT4Cg0Jas9/,@adria_ocean 🙌🏽
amoyashante,18242390881090377,https://www.instagram.com/p/CrT4Cg0Jas9/,😍😍😍😍
juliolealortiz,17998661779771429,https://www.instagram.com/p/CrT4Cg0Jas9/,@amoyashante 😘😘😘
juliolealortiz,17992261966758091,https://www.instagram.com/p/CrT4Cg0Jas9/,"#Yucatan #meridamexico
#meridayucatan #vucatanhermoso
#tiktok #visityucatan #vivamexico
#instamexicanos #mexicoandando
#yucatanpeninsula #pueblosmagicos
#forvou #conoce_mexico
#haciendastyle
#pueblosmagicosmx
#sunset #parati #iglesiasdemexico
#pueblosmagicos #haciendas
#haciendatzacalha #fyp
#mexico_tour
#vive_mexico #viralpost"
