hashtags:,#fyp,#famoso,#yucatan
post_url,username,comment_id,comment_text
germansosa778,18055454401770938,https://www.instagram.com/p/C90vbg7pQa7/,Saludos padrino
ceciliaaaps,18018749555577042,https://www.instagram.com/p/C90vbg7pQa7/,Aver si van el lunes al centro 😭( iré yo)
gloriaaliciaromerocarrillo,18035090336023281,https://www.instagram.com/p/C90vbg7pQa7/,😂😂😂😂🔥🙌🙌🙌
gatote_yael,18027344738266119,https://www.instagram.com/p/C90vbg7pQa7/,Dime qué eres de Tabasco sin decirme que eres de Tabasco 🙌😂😂
fern_.nd1,17996418083676915,https://www.instagram.com/p/C90vbg7pQa7/,@gatote_yael pero que no son de yuca?
juanito_cylon,18329218783179952,https://www.instagram.com/p/C90vbg7pQa7/,@sxy_ken no son de china
fern_.nd1,18031347734195125,https://www.instagram.com/p/C90vbg7pQa7/,@juan_guzman_arcos mames juan
kero_c30,18015103151544670,https://www.instagram.com/p/C90vbg7pQa7/,@gatote_yael son de Yucatán no?
mariana.villam,18002378999423844,https://www.instagram.com/p/C90vbg7pQa7/,😂😂😂
luisburgos209,18244872484252257,https://www.instagram.com/p/C90vbg7pQa7/,Hay te va a ensagggtagg el camaggonn
juliolealortiz,17995115558501853,https://www.instagram.com/p/C90vbg7pQa7/,"@luisburgos209 aguas, sigue tu familia 🥵"
luisburgos209,17958705140795644,https://www.instagram.com/p/C90vbg7pQa7/,@juliolealortiz jajajajajajaja
alhambra_35,18021091919363383,https://www.instagram.com/p/C90vbg7pQa7/,😂
juliolealortiz,18142814050328963,https://www.instagram.com/p/C90vbg7pQa7/,@alhambra_35 😂
josetwitts,18030318377135652,https://www.instagram.com/p/C90vbg7pQa7/,Pobre camarógrafo siempre me lo balconean
joesantanab,18103731034414589,https://www.instagram.com/p/C90vbg7pQa7/,@josetwitts ya me agarraron de patiño😂
juliolealortiz,18096455764440684,https://www.instagram.com/p/C90vbg7pQa7/,@josetwitts como debe de ser jajaja
josetwitts,18295925611166200,https://www.instagram.com/p/C90vbg7pQa7/,Chico che viveeeeee
juliolealortiz,18023080496518339,https://www.instagram.com/p/C90vbg7pQa7/,@josetwitts Jaajjaa!
joesantanab,18057894871629589,https://www.instagram.com/p/C90vbg7pQa7/,El mismísimo chico che 😂
juliolealortiz,18048022831874565,https://www.instagram.com/p/C90vbg7pQa7/,@joesantanab 😂😂😂😂
amoyashante,18027859775270540,https://www.instagram.com/p/C90vbg7pQa7/,😂😂😂
juliolealortiz,18022397894091182,https://www.instagram.com/p/C90vbg7pQa7/,@amoyashante 😂😂😘
