hashtags:,#fyp,#merida,#yucatan
post_url,username,comment_id,comment_text
ericatroi,18497301175023720,https://www.instagram.com/p/DD7uuQ-J7Z4/,"Ojo que a los 3 meses a las bicicletas se le va la pintura y @bicimaya  no te da garantia
Pregunten condiciones de garantia antes de comprar"
ayivette,17939620136828877,https://www.instagram.com/p/DD7uuQ-J7Z4/,👏👏
alfredito_ofi,18057431965781904,https://www.instagram.com/p/DD7uuQ-J7Z4/,@julio más personas como tú♥️🙏
palomagmez,17857380309339818,https://www.instagram.com/p/DD7uuQ-J7Z4/,❤️❤️❤️❤️
monicanaokyuicab,17871766263255177,https://www.instagram.com/p/DD7uuQ-J7Z4/,
dan13f,18030262493196907,https://www.instagram.com/p/DD7uuQ-J7Z4/,Dios te Bendiga Julio !!! ❤️ Feliz Navidad !
isa_ocurrenciasescritas,17941147469953043,https://www.instagram.com/p/DD7uuQ-J7Z4/,¡Qué bonitas personas!
cachorro_c20,18122386963407263,https://www.instagram.com/p/DD7uuQ-J7Z4/,"La neta que esa señora si se lo merece, ya la veía pasar todos los días con su niña🙏🏽
Dios te bendiga bro."
juliolealortiz,18348422128131449,https://www.instagram.com/p/DD7uuQ-J7Z4/,@cachorro_c1 bendiciones!!
marcoparra187,17906561382074795,https://www.instagram.com/p/DD7uuQ-J7Z4/,Chingon brou 🫂🫶🏾🤍🎄
juliolealortiz,18050275535296816,https://www.instagram.com/p/DD7uuQ-J7Z4/,@marcoparra187 🙏🏽
ritoruacho,17844452373375030,https://www.instagram.com/p/DD7uuQ-J7Z4/,😍beautiful
juliolealortiz,18012574346487572,https://www.instagram.com/p/DD7uuQ-J7Z4/,@ritoruacho 🙌
cristhina_sosa,18041070353249866,https://www.instagram.com/p/DD7uuQ-J7Z4/,❤️❤️
grbastry,18477849751046369,https://www.instagram.com/p/DD7uuQ-J7Z4/,Sabe manejar?
serrotarerrab,18339358555147123,https://www.instagram.com/p/DD7uuQ-J7Z4/,Excelente y que se le multiplique a la mujer que recomendó le dieran ese regalo
gibranman,18079615816522592,https://www.instagram.com/p/DD7uuQ-J7Z4/,👏👏
jazzzttt,18324780361089519,https://www.instagram.com/p/DD7uuQ-J7Z4/,Que chingon amigo👏👏
robertovaltierratovar,18068145679681850,https://www.instagram.com/p/DD7uuQ-J7Z4/,En que mercado la encontramos por favor
juliolealortiz,17887331985169003,https://www.instagram.com/p/DD7uuQ-J7Z4/,@robertovaltierratovar Lucas de Gálvez 🙌
xoma_ra23,18384680311103103,https://www.instagram.com/p/DD7uuQ-J7Z4/,"Q lindo,,, me iso yorar amigo,,,, gracias xlo q ases x esos seres, q les das alegria 🥳🥳🥳🫶👌🙏😉👍🥳🥳✌️"
juliolealortiz,18003528506697200,https://www.instagram.com/p/DD7uuQ-J7Z4/,🙌
alvin_hr,18022058003339245,https://www.instagram.com/p/DD7uuQ-J7Z4/,👏👏👏❤️
ellemy.camara,17946496514792879,https://www.instagram.com/p/DD7uuQ-J7Z4/,Ay un llorar cuando dice que lo màs bonito de su día es ver la lun🥺😢que bonito detalle quiero llevarle una regalo a la niña mañana @juliolealortiz sabes si mañana estarán en el mercado?
juliolealortiz,18079765687603750,https://www.instagram.com/p/DD7uuQ-J7Z4/,@ellemy.camara ahí debe estar el jueves 🙏🏽
marort93,17928229361878866,https://www.instagram.com/p/DD7uuQ-J7Z4/,😍😍😍 Mi amor que linda la niña
nely.canto,18299231263226569,https://www.instagram.com/p/DD7uuQ-J7Z4/,Detallazo.. ❤️ super bien
yiyimonk,17929927571987668,https://www.instagram.com/p/DD7uuQ-J7Z4/,👏👏👏👏❤️
sugemendoza,18052416694847014,https://www.instagram.com/p/DD7uuQ-J7Z4/,❤️❤️❤️
juliolealortiz,18028474334576500,https://www.instagram.com/p/DD7uuQ-J7Z4/,@sugemendoza 🫶🏼🫶🏼🫶🏼
gerardoulises18,18038930447351745,https://www.instagram.com/p/DD7uuQ-J7Z4/,👏👏👏👏👏👏
