hashtags:,#brunch,#merida,#yucatan
post_url,username,comment_id,comment_text
tonyvior75,18453882205028031,https://www.instagram.com/p/C8F1vUyJRKa/,@hector.villanueva
tonyvior75,18016284473278235,https://www.instagram.com/p/C8F1vUyJRKa/,@manuel_villanuevva
tonyvior75,18461360479055513,https://www.instagram.com/p/C8F1vUyJRKa/,@maortegon
tonyvior75,18250484515255468,https://www.instagram.com/p/C8F1vUyJRKa/,@a.v.o.78
mayleecano,17895588602985106,https://www.instagram.com/p/C8F1vUyJRKa/,Ya vine por.mis chilaquiles
luisvarguezjr,18062901265572359,https://www.instagram.com/p/C8F1vUyJRKa/,Plobal su puelquito de la legión plobal su blunch y su calnita asada
blancaflornoh,18097862059445632,https://www.instagram.com/p/C8F1vUyJRKa/,Saludos desde Cancún 😊
chairitza_,18037662092030511,https://www.instagram.com/p/C8F1vUyJRKa/,@militza_azu y @mrjose_gx
arguelles9503,18111802363407894,https://www.instagram.com/p/C8F1vUyJRKa/,Yo quiero ir al bronch Bro
pabloyoguito_30,17898692877043115,https://www.instagram.com/p/C8F1vUyJRKa/,Dzmafer vamos
carlossantiago6998,17871945981096042,https://www.instagram.com/p/C8F1vUyJRKa/,Yo p
vargas41quintero,18332088370131111,https://www.instagram.com/p/C8F1vUyJRKa/,Yo 😎
mferro_vgm,17858329944179814,https://www.instagram.com/p/C8F1vUyJRKa/,TODO ES FABULOSO EN YUCATÁN
dexteralvarez86,17867207055187187,https://www.instagram.com/p/C8F1vUyJRKa/,@herrera5058  VAMOS COMER
teoverdejo,18076933759519938,https://www.instagram.com/p/C8F1vUyJRKa/,Carisimooo
noni_u_a,17918976749959618,https://www.instagram.com/p/C8F1vUyJRKa/,Quiero probar x q vienen familiares y los llevaría etiquetó a Dionicio
gigio_bett,18352422673136787,https://www.instagram.com/p/C8F1vUyJRKa/,"""BRONCHEAR"" JAJAJAJAJAJAJA"
maricruzhuchin,17859378459224909,https://www.instagram.com/p/C8F1vUyJRKa/,Invita chico saludos☺😁❤
gabriela.moo.10,18355027300113986,https://www.instagram.com/p/C8F1vUyJRKa/,Delii
moonkhalessy,18049360054692432,https://www.instagram.com/p/C8F1vUyJRKa/,Vamos alejandro romero que nos chan invita  juliolealortiz.😱
hildita901,17925977042824983,https://www.instagram.com/p/C8F1vUyJRKa/,Ismael sanches
spawn9282,17889764292074888,https://www.instagram.com/p/C8F1vUyJRKa/,Bertha Cardos y Sofia Herrera
grinaisen,17981123135710682,https://www.instagram.com/p/C8F1vUyJRKa/,Tendré que ir a Mérida a probar.
rosalcva,17871802917152158,https://www.instagram.com/p/C8F1vUyJRKa/,Mi esposo quiero ir con él Vladimir basto
cerveramiakassandra,18065584810607273,https://www.instagram.com/p/C8F1vUyJRKa/,Yop
ivancruz2364,18078869800508620,https://www.instagram.com/p/C8F1vUyJRKa/,"Puedes llevar a mi sobrino!! Dirías que es tu gemelo, por su gran parecido!! Solo que el no trae barba 😃!!"
arelygya,18290876983203113,https://www.instagram.com/p/C8F1vUyJRKa/,A mi pareja 😍
estefanavelar,18087681100470070,https://www.instagram.com/p/C8F1vUyJRKa/,@ariadna Garrido
daniel_burgos48,18348022219141448,https://www.instagram.com/p/C8F1vUyJRKa/,Por 300 pesos mejor un kilo de cochinita o de lechón del castillo de la 42 Sur
tamayonaal,18054445099702941,https://www.instagram.com/p/C8F1vUyJRKa/,Rico si quiero ir
yanethsel,18246113647254228,https://www.instagram.com/p/C8F1vUyJRKa/,"Luis Aguilar, para nuestro 3 aniversario ☺️ vamos a comer allí"
wendypatriciadoran,18031914835980774,https://www.instagram.com/p/C8F1vUyJRKa/,A mi hija ali
vianeyehuan,18332656243135022,https://www.instagram.com/p/C8F1vUyJRKa/,😊 @aaxelunoo
josephbarbosa69,18009446810560326,https://www.instagram.com/p/C8F1vUyJRKa/,Gpi
rosalinda0305,17965751036646943,https://www.instagram.com/p/C8F1vUyJRKa/,Seleccionameeee
jullizza,17902805163009634,https://www.instagram.com/p/C8F1vUyJRKa/,@areli Sla @Zazil Kim
jhorch21,18016772045588324,https://www.instagram.com/p/C8F1vUyJRKa/,Yo quiero ir contigo
gabigallegoscastro,18050229325840203,https://www.instagram.com/p/C8F1vUyJRKa/,Jose Alfredo vamos
greivoire,17997456101657797,https://www.instagram.com/p/C8F1vUyJRKa/,Que rico
belavasigtz,18036324797298606,https://www.instagram.com/p/C8F1vUyJRKa/,"Totalmente  se antoja, vamos a visitarlos."
chipipoangulo,18012120038569614,https://www.instagram.com/p/C8F1vUyJRKa/,Se ve super rico
esthersilva04_,18115179199377562,https://www.instagram.com/p/C8F1vUyJRKa/,Con mi nieta Venezia de Jesús
edgarsito0822,18137893396353376,https://www.instagram.com/p/C8F1vUyJRKa/,El blonch
koyocgloria,18036170857886648,https://www.instagram.com/p/C8F1vUyJRKa/,Chévere yo te acompaño
silvestrecivic,18038001664983561,https://www.instagram.com/p/C8F1vUyJRKa/,La crema papa
chavarriasalma,18033463097170699,https://www.instagram.com/p/C8F1vUyJRKa/,Vamos mi amor enrique lara
esthefania116,17981686631706298,https://www.instagram.com/p/C8F1vUyJRKa/,@ruben_arce.16
