hashtags:,#merida,#yucatan,#llantas
post_url,username,comment_id,comment_text
rcarballo.m,17922812603986662,https://www.instagram.com/p/DBekkY0peJL/,😂
san_antonio_59,18025807412430517,https://www.instagram.com/p/DBekkY0peJL/,😍😍😍😍👏👏👏👏👏
ax_fiction,18152018941334761,https://www.instagram.com/p/DBekkY0peJL/,Kaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa voy
bubucardos,18056327287799828,https://www.instagram.com/p/DBekkY0peJL/,Solo por eso voy a comprar un carro para ir a llantamaya
roolemus,17867095359165659,https://www.instagram.com/p/DBekkY0peJL/,JAJANANJAAJ wey tqm
juliolealortiz,18035307884038828,https://www.instagram.com/p/DBekkY0peJL/,@roolemus 😂🫶🏼
heydercardos,18465090403001230,https://www.instagram.com/p/DBekkY0peJL/,JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA TE AMO
brandonepl,18325123912152879,https://www.instagram.com/p/DBekkY0peJL/,Eres el mejor jajajaja❣️
juliolealortiz,18460515928013496,https://www.instagram.com/p/DBekkY0peJL/,@brandonepl 🔥🔥🙌
emolianoibarra,18460533883062739,https://www.instagram.com/p/DBekkY0peJL/,Definitivamente subanle el sueldo al de marketing
rodromarrufo,18050245867784170,https://www.instagram.com/p/DBekkY0peJL/,Te mamaste
isaip8,18461406190045299,https://www.instagram.com/p/DBekkY0peJL/,"Buena publicidad, iré por mis llantas, aunque ni carro tengo 😂"
juliolealortiz,18018214994560326,https://www.instagram.com/p/DBekkY0peJL/,@isaip8 😂🙌
didieralcocer,18245884966277175,https://www.instagram.com/p/DBekkY0peJL/,😂😂😂
pixcu,18279329935171430,https://www.instagram.com/p/DBekkY0peJL/,🤘🏼🤘🏼🤘🏼
vitodisena,18462368572005336,https://www.instagram.com/p/DBekkY0peJL/,Joder es cine 🚬
juliolealortiz,18079644571543304,https://www.instagram.com/p/DBekkY0peJL/,@vitodisena 🚬🔥
diego.alemi,17942277209910889,https://www.instagram.com/p/DBekkY0peJL/,Venga. Voy a ir a cotizar nene pa la Rojita.  Bebooo🔥🔥
juliolealortiz,18064087195739771,https://www.instagram.com/p/DBekkY0peJL/,@diego.alemi grosooooo 😮‍💨😮‍💨😮‍💨😮‍💨❤️
amoyashante,18064064794734326,https://www.instagram.com/p/DBekkY0peJL/,😂😂😂😂🥵
juliolealortiz,17880863223157694,https://www.instagram.com/p/DBekkY0peJL/,@amoyashante 😍😍😍😂😘
jorgemartos22,18066659893581684,https://www.instagram.com/p/DBekkY0peJL/,😂😂😂
juliolealortiz,18039682072964782,https://www.instagram.com/p/DBekkY0peJL/,@jorgemartos22 pa la próxima puedes sostener la llave en la cola para el video amigo 😂🙌
jorgemartos22,18046633766502020,https://www.instagram.com/p/DBekkY0peJL/,@juliolealortiz que bueno que no te dieron cuerda al final con el dedo😂😂
juliolealortiz,18024569471208229,https://www.instagram.com/p/DBekkY0peJL/,@jorgemartos22 😂😂😂
alexis_ishem,17883008385148596,https://www.instagram.com/p/DBekkY0peJL/,Que buena promo. 👏😂😂😂
juliolealortiz,18021855827250885,https://www.instagram.com/p/DBekkY0peJL/,@alexis_ishem 😂😂😂🙌🙌🙌
juanpa__hdz_zorrilla,18023970860226693,https://www.instagram.com/p/DBekkY0peJL/,😂😂😂 dioooossss
juliolealortiz,18040524101175819,https://www.instagram.com/p/DBekkY0peJL/,@juan_pablo_hdz_z jajaja ya conocías a mis amiguitas las llantas? 😂
juliolealortiz,17993107604709020,https://www.instagram.com/p/DBekkY0peJL/,Like si viste el final del video 👀😂
