hashtags:,#yucatan,#reto,#humor
post_url,username,comment_id,comment_text
amoyashante,18088957805489149,https://www.instagram.com/p/DSTbaJLjQgI/,😂😂
juliolealortiz,17935808316109865,https://www.instagram.com/p/DSTbaJLjQgI/,@amoyashante 😂😘
san_antonio_59,18078253808192076,https://www.instagram.com/p/DSTbaJLjQgI/,😂😂😂😂😂😂😂😂😂
juliolealortiz,18032335763546198,https://www.instagram.com/p/DSTbaJLjQgI/,@san_antonio_59 🤣🙌🏽
victormedina2259,18104513194704475,https://www.instagram.com/p/DSTbaJLjQgI/,😂😂😂😂
demianaimed,18064885304424708,https://www.instagram.com/p/DSTbaJLjQgI/,😂😂😂😂
seriprinters,18067942841127906,https://www.instagram.com/p/DSTbaJLjQgI/,"No aprendes chel, ya vas de nuevo con alpargatas al centro 😂"
juliolealortiz,17904505956163966,https://www.instagram.com/p/DSTbaJLjQgI/,@seriprinters la costumbre 😂🙌
llelitojimenez,17951975516925005,https://www.instagram.com/p/DSTbaJLjQgI/,Eido muchas veces a Mérida pero no ubico el lugar donde estas grabando
