https://www.instagram.com/p/CjI623ZPafL/,hashtags:,#Hipocresía
username,comment_id,text
amarantajoan,17938765928396393,😂😂😂
dr.nutriwilliam,17950854827180703,Jajaja eres el mejor Juan amaro
eljuanamaro,17938351829268357,@nutriwilliamcontreras muchas gracias mi Nutri 🙏🏻 te mando un abrazote
rubioo_alejandro9,17956391882079372,"La pura verdolaga, pero la que le dieron a la Nayeli"
eljuanamaro,17845711079851867,@alejandrorubioduran 🙈🙈🙈 ni me lo recuerde padrino!
