hashtags:,#YucatánMásMejor,#Yucatán,#ecologylife
post_url,username,comment_id,comment_text
guskavo_5,18404652373069201,https://www.instagram.com/p/C4bo2zELxXd/,😂
flacidodomingo_,18218405764279949,https://www.instagram.com/p/C4bo2zELxXd/,jajajajaja
eljuanamaro,18424367077017465,https://www.instagram.com/p/C4bo2zELxXd/,@flacidodomingo_ 😂😂😂
ninamongeote,17848737642169068,https://www.instagram.com/p/C4bo2zELxXd/,HAHAHA TE AMO MI PRESIDENTE ❤🤣
ale.haza,17848098255170599,https://www.instagram.com/p/C4bo2zELxXd/,@ninamongeote ❤❤❤
eljuanamaro,18054711421501841,https://www.instagram.com/p/C4bo2zELxXd/,@ninamongeote Gobernador por el momento amor de mi vida ❤️
emanuel99__,18005030492181415,https://www.instagram.com/p/C4bo2zELxXd/,Eres el mas mejor 😂
jorgensolis,18018678980116439,https://www.instagram.com/p/C4bo2zELxXd/,Puedo poner tu nombre en la boleta?
eljuanamaro,17993153054344828,https://www.instagram.com/p/C4bo2zELxXd/,@jorgensolis el voto es libre y secreto compañero! #yucatán #democracia
ponchomora_,17898142910967832,https://www.instagram.com/p/C4bo2zELxXd/,@jorgensolis solo si quieres vivir en un Yucatán más mejor
