https://www.instagram.com/p/ClpcU_4LR43/,hashtags:,#friendship
username,comment_id,text
androverdoo,17985831712709210,Tu le atinaste pero a mi corazón 😮‍💨
mariadelrio2,17967588736893524,yo pido primix
maferpuig,18039009253400473,Jajajajajajjajajjajaa t extra
max.del.rio,17871199121763325,Yo quiero jugar
marialopezc_,17965538315072343,Iconic
marialopezc_,18002095666554040,JAJAJAJAJAJAJAJAU
chuche.fotografo,17945138771413803,Pa cuando el Live action?
cali_rael,17978894506840936,Jajaja
