hashtags:,#Kanasín,#YucatánMásMejor
post_url,username,comment_id,comment_text
abrilchowder,17910503864867991,https://www.instagram.com/p/C5pPkNkrLZ2/,@montserratzamb hahaha
pameevela,18009669320521860,https://www.instagram.com/p/C5pPkNkrLZ2/,@williamsolisperez muero de risa 😂😂
williamrhh,17995738877361933,https://www.instagram.com/p/C5pPkNkrLZ2/,"Como un ciudadano oriundo de Kanasin, me alegra que le den ese auge al enriquecimiento que puede otorgar mi ciudad, un abrazo y saludos candidato 😍"
eljuanamaro,17875421637015644,https://www.instagram.com/p/C5pPkNkrLZ2/,@williamrhh gran municipio con grandes personas 🙌 juntos haremos de #Kanasín Más Mejor 💪🏻💜🧡💙
laprimamx,18025446475893813,https://www.instagram.com/p/C5pPkNkrLZ2/,JAJAJAJA AMO
eduardo_alcocer,18005906975383179,https://www.instagram.com/p/C5pPkNkrLZ2/,Terminé
eljuanamaro,18005343926408362,https://www.instagram.com/p/C5pPkNkrLZ2/,@eduardo_alcocer estuvo rico?
cali_rael,18070097050499404,https://www.instagram.com/p/C5pPkNkrLZ2/,Jajajajaj
eljuanamaro,18012681428099791,https://www.instagram.com/p/C5pPkNkrLZ2/,@cali_rael 🤪🤪
mauricioaruizp,18098324677398985,https://www.instagram.com/p/C5pPkNkrLZ2/,Mucho éxito en tu nuevo contenido Tio Rober🙌
eljuanamaro,18001615382288567,https://www.instagram.com/p/C5pPkNkrLZ2/,@mauricioaruizp 🤣🤣🤣
laia_nunez,18014151212201530,https://www.instagram.com/p/C5pPkNkrLZ2/,😂😂😂😂😂
eljuanamaro,17918381612806063,https://www.instagram.com/p/C5pPkNkrLZ2/,@laia_nunez 🤪🤪
heydercardos,18035969314728515,https://www.instagram.com/p/C5pPkNkrLZ2/,JAJAJAJAJAJA excelente propuesta
eljuanamaro,18025629778880087,https://www.instagram.com/p/C5pPkNkrLZ2/,@heydercardos a la orden 🫡
jcgarciae98,18031565482938449,https://www.instagram.com/p/C5pPkNkrLZ2/,Buenas propuestas
eljuanamaro,18029332405955517,https://www.instagram.com/p/C5pPkNkrLZ2/,@jcgarciaestrada lo sabes gallo 🫡
inversionespadres,18055593973582379,https://www.instagram.com/p/C5pPkNkrLZ2/,La MEJOR 🪶 de Yucatán 🙌
eljuanamaro,17925180401778019,https://www.instagram.com/p/C5pPkNkrLZ2/,@sergio.brokrs 😂
carlossmedina_,17984342354508215,https://www.instagram.com/p/C5pPkNkrLZ2/,JAJAJAJAJAJAJ HERMOSOO
eljuanamaro,18002944271587728,https://www.instagram.com/p/C5pPkNkrLZ2/,@carlossmedina_ 🙈
kevinpiniaa,17936108057730417,https://www.instagram.com/p/C5pPkNkrLZ2/,"Excelente propuesta, cuente con mi apoyo y el de toda mi familia"
eljuanamaro,18002751278274137,https://www.instagram.com/p/C5pPkNkrLZ2/,@kevinpiniaa 👏🔥
amajgr4,18134046457322184,https://www.instagram.com/p/C5pPkNkrLZ2/,El Maynez yucayeco🤣
eljuanamaro,18024316451087122,https://www.instagram.com/p/C5pPkNkrLZ2/,@amajgr4 😮
soypedro.99,18104524216388365,https://www.instagram.com/p/C5pPkNkrLZ2/,Jajaja se pasaron de vrg 😂😂😂
joze_tony,18003332039269479,https://www.instagram.com/p/C5pPkNkrLZ2/,El remate es lo mejor
eljuanamaro,17930635139836085,https://www.instagram.com/p/C5pPkNkrLZ2/,@joze_tony se sabe
joze_tony,18008608697172489,https://www.instagram.com/p/C5pPkNkrLZ2/,Un Kanasin mas mejor
eljuanamaro,18022606141915681,https://www.instagram.com/p/C5pPkNkrLZ2/,@joze_tony 💜🧡💙
irvingalvarez20,17851291089147255,https://www.instagram.com/p/C5pPkNkrLZ2/,El mejor guion del mundo 😂
eljuanamaro,18056806468566395,https://www.instagram.com/p/C5pPkNkrLZ2/,@irvingalvarez20 nuestros ojos lo dicen todo padrino #yucatan #futuro #cambio
