hashtags:,#MGelectric,#Cyberster,#MGPeninsula
post_url,username,comment_id,comment_text
magui_sanz,18104765686497708,https://www.instagram.com/p/DIZjEyUpWq8/,Jajajajjajajja me gusta! Sin tantos insultos se demuestra que se puede hacer buena comedia aplausos 👏
rafael_ms0,17913317309998745,https://www.instagram.com/p/DIZjEyUpWq8/,Que buen video JAJAJAJAJAJ!!
mchami77,18131960473413989,https://www.instagram.com/p/DIZjEyUpWq8/,Hi pedorrage sin duda !! Muy simpático el carrito
ferodriguezy,18061320269086479,https://www.instagram.com/p/DIZjEyUpWq8/,😂😂😂
chefwalterandres,17878266885291751,https://www.instagram.com/p/DIZjEyUpWq8/,Y si le pusieron aceite a la trasmisión Rigel?
nayby_benitez,18111790126478644,https://www.instagram.com/p/DIZjEyUpWq8/,Jajajajaja
danielagarciab_,18105961813500566,https://www.instagram.com/p/DIZjEyUpWq8/,😂😂😂😂
minealcocer_,18081974551743390,https://www.instagram.com/p/DIZjEyUpWq8/,@alfonsolaynes jajaja eres tú 😂
alfonsolaynes,18033242285353312,https://www.instagram.com/p/DIZjEyUpWq8/,@minealcocer_ jajajaja si soy
farimarin,17963153222906285,https://www.instagram.com/p/DIZjEyUpWq8/,😂😂😂😂😂
adricalerosacra,17876597136298397,https://www.instagram.com/p/DIZjEyUpWq8/,"Dice Rigel que no te soportarías ni a ti mismo 😂 

cc @richaiza"
richaiza,18057599419934978,https://www.instagram.com/p/DIZjEyUpWq8/,@adricalerosacra JAJAJAJAJA
leonardho84,18057455383934783,https://www.instagram.com/p/DIZjEyUpWq8/,😂😂😂😂😂😂
lalohdeza,17902564215160713,https://www.instagram.com/p/DIZjEyUpWq8/,¿El costo del vehículo también incluye incendio gratis a la unidad?
_.arturoherrera,18039068159445672,https://www.instagram.com/p/DIZjEyUpWq8/,todo un top tolet 😍
danielagarciab_,18499072867039568,https://www.instagram.com/p/DIZjEyUpWq8/,Quiero dos
ricardoenciso1,18500351629040715,https://www.instagram.com/p/DIZjEyUpWq8/,👏👏👏👏
jaquicuevasp,18075681088800420,https://www.instagram.com/p/DIZjEyUpWq8/,Yo también quiero que me lo preste Ponce🤪
jaavierandrade,18059976443032127,https://www.instagram.com/p/DIZjEyUpWq8/,Ig de la de mg?
oscarlvgn,18058770542152372,https://www.instagram.com/p/DIZjEyUpWq8/,Si no hay piezas para los comunes! Imagínate del que solo hay 100 jajajaja
aliscasares,18063774700996387,https://www.instagram.com/p/DIZjEyUpWq8/,@anacrismorales 😂
luis.agj,18112053334425335,https://www.instagram.com/p/DIZjEyUpWq8/,“Te acercas a cualquier carro que te pite cawn?” JAJSJAJAJAJA
maxarcilal,18045980384122730,https://www.instagram.com/p/DIZjEyUpWq8/,😂😂
raypr24,17853081570425335,https://www.instagram.com/p/DIZjEyUpWq8/,Ya no maltrates tanto a Rigel😩
martinmacehual,18363572977180950,https://www.instagram.com/p/DIZjEyUpWq8/,IG de la recepcionista.... Es para pedir informes 😌
robertoramirez3563,18079932415736309,https://www.instagram.com/p/DIZjEyUpWq8/,Osea como?? Ya hay carros en esa parte del país?? 😮😂
pab.avc,18054811642976550,https://www.instagram.com/p/DIZjEyUpWq8/,@robertoramirez3563 mi compa el chilango
chaos.vermillion,17906905704121135,https://www.instagram.com/p/DIZjEyUpWq8/,@robertoramirez3563 Y de los más bonitoss
yessi_rosado,18079818763740020,https://www.instagram.com/p/DIZjEyUpWq8/,Pierdes tu bono de amistad 🤣  @alex_viana_hdz
ensyamaro,17962391921869807,https://www.instagram.com/p/DIZjEyUpWq8/,rigel enmicatela
de4thsh4dow08,18045264569525905,https://www.instagram.com/p/DIZjEyUpWq8/,Yucafresaaaa
leonardho84,18010078415714800,https://www.instagram.com/p/DIZjEyUpWq8/,"Ese Ponce es cuate, t lo va a prestar jajaja"
lalohdeza,18068254405763139,https://www.instagram.com/p/DIZjEyUpWq8/,@leonardho84 si es que no está en el taller siempre..
alipicabrera,17927139090044427,https://www.instagram.com/p/DIZjEyUpWq8/,Jajaja la cara cuando lee el post it “Pooonceee” hazlo meme
luzmatoledano13,18141429292383493,https://www.instagram.com/p/DIZjEyUpWq8/,Jajaja eres mi ídolo caon jajaj
errekuri,17924260104055885,https://www.instagram.com/p/DIZjEyUpWq8/,Si va a estar bien ardido Ponce
victorpech084,18050829224432985,https://www.instagram.com/p/DIZjEyUpWq8/,🤣🤣🤣🤣🤣
yorchhh,17859056805399113,https://www.instagram.com/p/DIZjEyUpWq8/,Ya se le subió la miarda a Rigel
mingomejiadelgadillo,18057169834914568,https://www.instagram.com/p/DIZjEyUpWq8/,Puroo Yucafresa power 💪🏽 ! 😂😂😂
jogeg2023,18170518714330221,https://www.instagram.com/p/DIZjEyUpWq8/,Pásame mi vaspapu!!!! Jajajajajaja
ricardoenciso1,17874568758224776,https://www.instagram.com/p/DIZjEyUpWq8/,Ya Ponce y Xacur compraron su MG Cyberster
anonimuserx,18390389266142906,https://www.instagram.com/p/DIZjEyUpWq8/,Que Rigel vaya pidiendo la grua
gerardo_celis_1975,18047935811369258,https://www.instagram.com/p/DIZjEyUpWq8/,Y la grúa ?
iancrobertson,17863077504382198,https://www.instagram.com/p/DIZjEyUpWq8/,Ponce 🤬🤬🤬🤬
jpgonza66,18051251078038808,https://www.instagram.com/p/DIZjEyUpWq8/,Es sarcasmo vdd?
jary_vazquez06,18131947915413756,https://www.instagram.com/p/DIZjEyUpWq8/,😂👍
elmorodriguezg,18071581714888660,https://www.instagram.com/p/DIZjEyUpWq8/,El máster amo
_feermartin_,17927926946932617,https://www.instagram.com/p/DIZjEyUpWq8/,Hay algo que no hagas bien @eljuanamaro 😂
_feermartin_,18091854469575926,https://www.instagram.com/p/DIZjEyUpWq8/,@_feermartin_ ademas de contratar a rigel
andresmanzanos,17852742447387027,https://www.instagram.com/p/DIZjEyUpWq8/,JAJA
hemberleninmedinagalban,18031916591639585,https://www.instagram.com/p/DIZjEyUpWq8/,Jajajajajajajajaja me muero de risa....
arvizusara_,18303484090208932,https://www.instagram.com/p/DIZjEyUpWq8/,JAJAJAJ te queda muy bien ese modelito
hannahdezc,18389173207117002,https://www.instagram.com/p/DIZjEyUpWq8/,@kevorrc te van a terminar pegando algo 😔
manie_perezoso,18096694648596202,https://www.instagram.com/p/DIZjEyUpWq8/,Quien le dijo a este tipo que es gracioso. ?
bernycruz74,18089064604636928,https://www.instagram.com/p/DIZjEyUpWq8/,😂😂
bernycruz74,18032862992443740,https://www.instagram.com/p/DIZjEyUpWq8/,El mirey yucateco
juanjocastroz,18057622880368165,https://www.instagram.com/p/DIZjEyUpWq8/,"Macho Caon usar MG no es de muy International business man de tu parte, saludos a Rigel."
esa_mi_ancona,17866355586409560,https://www.instagram.com/p/DIZjEyUpWq8/,@_ed.cht_
a_m_t324,18033842330405592,https://www.instagram.com/p/DIZjEyUpWq8/,Contexto:cawn
soyikis,18070341214974763,https://www.instagram.com/p/DIZjEyUpWq8/,Jajaja que cagado hablan 🤣🤣🤣
jsleroi,18069090448976572,https://www.instagram.com/p/DIZjEyUpWq8/,Si así fueran los anuncios de YouTube 💸💸💸
mixerwill,18114739258480152,https://www.instagram.com/p/DIZjEyUpWq8/,Coño rigel es un MG no se valla a prender jajajaja
its_dixz_bn,17848982775437717,https://www.instagram.com/p/DIZjEyUpWq8/,@haruka_teno_uwu tu w
kankel87,17892311277236161,https://www.instagram.com/p/DIZjEyUpWq8/,"Todavía que es mal comediante, anunciando porquerias"
lizbethvilla363,17926440465004554,https://www.instagram.com/p/DIZjEyUpWq8/,Hermoso auto
dapero_more,18112382266483038,https://www.instagram.com/p/DIZjEyUpWq8/,😂😂MG _manden grua
moisesramirez445,17914526076096605,https://www.instagram.com/p/DIZjEyUpWq8/,Hay rigel dile al menonita de tu jefe que te valore y te lleve con las gallinitas de patio
emir_farah,17988805217649284,https://www.instagram.com/p/DIZjEyUpWq8/,"Soy, wl pinche rigel que pto asco tampoco me gusta andar en grua 🤣🤣🤣"
emir_farah,18066034285940390,https://www.instagram.com/p/DIZjEyUpWq8/,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 al dueño de abimerhi le interesa
rolojgarcia,18079739650739937,https://www.instagram.com/p/DIZjEyUpWq8/,Habla bien cabron! 😂😂😂
ivanvarra,18060738343890902,https://www.instagram.com/p/DIZjEyUpWq8/,Que modelo es? 😍
ppantojita,18125083009430246,https://www.instagram.com/p/DIZjEyUpWq8/,@federico_diaz_aguilar
rockstar_vador,18034238810325242,https://www.instagram.com/p/DIZjEyUpWq8/,"Es de Yucatán, verdad?"
luisbarber_mx,18141378202380209,https://www.instagram.com/p/DIZjEyUpWq8/,Maaae macho fácil ese carrito te lo presto shakur jajajajajaa 😂😂😂😂
i.v.aa.n_,18290410261222826,https://www.instagram.com/p/DIZjEyUpWq8/,Cabron🗣🗣🔥🔥
