https://www.instagram.com/p/DIR28Rpp2cL/,hashtags:,#soldout
username,comment_id,text
jorgepenicheniquete,18401981002096825,Saludos internacional bisnes
chafijacobo,18090530107589648,Éxito brother 💯
pistones_del_mayab,18403217539096926,🙌 eso es todo!! centraaaaaaaaaal bus cawn
alvarogonzalez_23,18085497169624462,Puro top tolet ira!!
elpochcastmx,18079651429668271,🔥🔥🔥
menta59,18400325080100630,🔥🔥🔥🔥
vielkasolede,18277332349251728,Bien!!
nicoolznn,18055493662958617,"eso es todo macho, puro internacional business man"
mrobles94_,18056181590329327,"No mames, para qué Chucho Zozaya"
1678armando,18376036570184701,Va estar Rigel Bro pa ir
aioriavip,18350288518158618,Vente a Cancún bro
eljuanamaro,18277331710270489,@aioriavip hoy 9 pm en @bonitacantabar boletos en link en bio
yosh.delmayab,17966701838887491,Saludos a cara de chulo
molinatzab,18059634029229380,El agua está muy sucia y contaminada de gasolina😔😔
