https://www.instagram.com/p/CsAAQATrkqf/,hashtags:,#Hipocresía
username,comment_id,text
hedlundr,17976317327477258,@eljuanamaro la de la foto número 4 se ve taaaan libra @guillirc
eljuanamaro,18009377953578704,@hedlundr 😂😂😂 súper libra ♎️
jesusveg4,17937798770539903,Mi primera foto sonriendo.
eljuanamaro,17969707754371191,@jesusveg4 espero que sea la primera de muchas 🙌
soy_yaaz,17893485392750667,@adir31
adir31,17999091232839670,@soy_yaaz no puedo ese día 😢
eljuanamaro,17885715764833433,@adir31 😢
