https://www.instagram.com/p/CqV4uhAj-9n/,hashtags:,#LaJuanósfera
username,comment_id,text
iaddygrz,17949965534531601,UUUUuuuay
eljuanamaro,18005384344617115,@iaddygrz 😂😂😂 qué pasó ahí
balandranoraul_locutor,17988049744779382,Se sincronizaron jajajjaja
eljuanamaro,17888879759799143,@balandranoraul_locutor jajajaja estuvo cronometrado!!
kaymenac,18030988306477893,Jajaj ya te enjaretaron un hijo
eljuanamaro,17982143425896185,@kaymenac no me puedo mantener yo y ya quieren que mantenga un chamaco 😖
