https://www.instagram.com/p/C6XhDzSLVRy/,hashtags:,#YucatánMásMejor
username,comment_id,text
emiliosalazart,18442097209003238,😂😂😂
july_amar,18268187929237398,Jajajajajajajajajaaaa jajjajajaja tienes mi voooooootooooo
chuchusinmiedo,17910074720948139,Porque esto no se ha hecho más viral 😂😂😂😂 es lo más mejor que he visto de campañas😂😂😂
nutbasulto,17899270442988250,😂😂😂jajajajajaj
laurissamarrufo,17863308066130085,Soy muy fan
trendyga__,17851664187188843,😂😂😂😂😂😂
tanusasolis,18043104106700760,@esthefannymp  @carolinayanezub 😂😂
diandiaz_,17870180139050716,JAJAJAJAJAJAJAJA
brendaartega4,17924616755893924,@anniilupiiz yo conozcooooo 😂
anniilupiiz,17852022201186666,@brendaartega4 JAJAJAJAJAJAJAJA
brendaartega4,18314308603183652,@anniilupiiz jajajajja ese vato 😂❤️ me cague de risa
abinut.run,18062186458554589,@manu.arriero
mandiieherrera,18010271540373541,"Candidato, yo sí soy de Yucatán. Que tengo que hacer para salir en uno de tus videos! 😍"
lapawiimx,18023184791130740,😂😂😂😂mi gallo
titaa89,18289785136160849,JAJAJSJAJAJAAKAK NECIO 😂
nosvamosjuntos,18306403420158295,Mi total apoyo al candidato desde el mero Tamaulipas aunque no me quiera saludar
eljuanamaro,18055172077606579,@nosvamosjuntos saludos hasta Tamaulipas y muchas gracias por su apoyo 🙋🏻‍♂️
victormedrano_zp,17999488229605987,"#porunyucatánmejor estoy con usted candidato, todos con Juancho! +mejor"
marcrito,18184220419288658,@victormedrano_zp 🙋‍♂️
jorgealbertoalonzo,17973706619695470,"Candidato! Cuando puedo pegar su calca en mi carro? Digo, es un carro del año, tampoco quisiera ver su calca pegada en un Tsurito viejo #PorUnYucatanMasMejor 🫶🏻"
piposolis1,18440695126018175,El hijo del papa
germansantoz,18026981972021428,😂😂 mi gallo x un #YucatanMasMejor ➕
elchinofernandez,17951103656671329,JAJAJJAJAJJAAJJA
misterfulanito,17853002244141601,¿Dónde compro tu gorra? Soy foráneo pero acá está mi frase para pasar la prueba: conio.
hojodealcon_,18042885337775479,jajajajaja
ycosette_,18000336398334506,Me encantan sus propuestas!
erickuresti,18332549704184529,@ycosette_ te esperamos el 2 de junio y vota por el único candidato serio de éstas elecciones
jenni_hernadez,18032206033807834,@ycosette_  por un Yucatán más mejor 🫶
jgisselles,17935963232738767,😂😂😂😂😂😂
didiergabrielmartin,18033634183770406,"JAJAJAAJJAJA que buen video, tienes mi voto 🤣"
aireadna,18029033698864679,"JAJAJAJAJAJAJAJAJAJAJAJAA ""ESTOY HARTO DE SALUDAR FORÁNEOS"" JAJAJAJAJAJAJAJAJAJAJAJAAJJA"
victor_noh_,17932712903838262,Me dolió cada segundo verlo 😢
naomiantonieta,18013156931352225,JAJAJAJAJAJAJJAJAJAJAJAJA ocupo que pasen por mi colonia regalando bicicletas porque soy foránea JAJJAAJAJJAJAA
cesarherrc,17977435481689719,@jennifer_cen12
soyfelosilva,18006621461402602,Jajajajajajajajajajajajajajajajajajaa ya tienes mi voto
juanpis.juanpis,18033790090907555,Yo votaría por ti cualquier día y dos en domingo! 🔥🙌❤️😍👏
dritli,17861961168094697,Jajajaja ya te vi @dylanpachecoc
dylanpachecoc,18104335390386106,@dritli jajajajaja atrapadooo
mipcmx,18044678014703240,#porunyucatanmasmejor 🔥
karla__ac,17945436974796947,"Quiero dejar de ver tanta placa de foráneos, se puede? 😂"
irvingcas,18004415237282643,Jajajajajaja mi candidato
mike7fold,17901533687898982,Salgo en la portada!!! 🫶
rossxacur,18116493355327931,Somos foráneos en nuestro propio tereeenooo
estebandupinet,17939599292722966,@amarossan
shey33.16,18236303278252967,😂😂😂😂😂😂😂😂
abdielivangg,18286067560163103,Todo el que tenga cara de foráneo tendrá que ponerse una máscara 💚
_jairoarias,18025684082107755,Se están extinguiendo hermano!!!
srangelburgos,18043736713702273,😂😂😂👏👏👏
pastor_mmp,17848757277196517,"Candidato, yo quiero una gorra"
pepe0jeda,18022171856501402,Jajajajaja
pawwcampos,18094924648412865,ya quiero que sea 2 de junio para votar por usted mi señor candidato.
jorgeflowres,18303693220196484,"Yo soy foráneo, no quiero ser eliminado para poder gozar de tu gobernatura"
sinuhealejandre,17844536172202500,JAJAJA
joesantanab,17955063938650510,"El candidato perfecto, mi voto es tuyo juancho"
adrilorde,18136004770323016,"JAJAJAJAJA ESTOY HARTO DE SALUDAR FORÁNEOS, soy"
eljuanamaro,18028642691053456,@adrilorde somos #Yucatán 🤝🏻
_pedro_alarcon,18032914054934425,Menos los de Sinaloa esos sos buen pedo
eljuanamaro,18262000894169539,@_pedro_alarcon que nos ayuden con el tema de los caballos 🐎 hay experiencia ahi 🤠
_pedro_alarcon,18061587223555772,Fuera los foráneos!
adrilorde,18024210835929102,JAJAJAJA tqm Juana Maro
eljuanamaro,17847619986182932,@adrilorde estoy a su servicio por un #YucatánMásMejor 🫡
_pedro_alarcon,17876174988072822,🤣🤣🤣🤣
bailehibrido,18031932481963534,😂😂😂
srjavi.olan,18429342259032393,Si soy foráneo puedo pedir una gorra?
yeny_varguez,17950492703787177,Arriba @huachodiazmena.oficial !!!❤️‍🔥💪🏼
eljuanamaro,17852243238151159,@yeny_varguez arriba pero del podio porque quiero verlo en un debate cara a  cara conmigo y @renanbarreraconcha a ver si muy candidato
yeny_varguez,18029006587845540,Jajajaja ❤️
jc_sp90,18019226336022372,@malucastaneda19 mira este es el que te dije que no vistes que propone un Yucatán más mejor y más escuelas segundarias en el estado
erickuresti,18433159054023743,El yucafresa tiene mi voto. vamos por un Mérida con - foráneos + nativos = más mejor
ycosette_,17937741632822125,@erickuresti exclamó el Tabasqueño
erickuresti,17997280640542752,@ycosette_ soy más yucateco que el queso de bola nee!
