hashtags:,#standup,#standupcomedy,#standupmexico
post_url,username,comment_id,comment_text
paucastillac,17949647348687522,https://www.instagram.com/p/C7Mk0xZL6Ky/,JAQJAJJAJAAJJAAJJAJAJAJAJA
leentsuki,17992245563642837,https://www.instagram.com/p/C7Mk0xZL6Ky/,@betorg_96
marioluna.97,18037048630821932,https://www.instagram.com/p/C7Mk0xZL6Ky/,Por que no quitas el pastel para no mancharte y te sientas cómodamente a comer la verga?
eljuanamaro,18036331519760765,https://www.instagram.com/p/C7Mk0xZL6Ky/,@marioluna.97 así no funciona la dinámica
ferrrduran,17890521156017240,https://www.instagram.com/p/C7Mk0xZL6Ky/,Si te comes el pastel comes dos veces 🫦
eljuanamaro,18348294223111822,https://www.instagram.com/p/C7Mk0xZL6Ky/,@ferrrduran 😂😂😂 es usted un conoisseur 🤌🏻🚬
