hashtags:,#Yucatán,#YucatánMásMejor
post_url,username,comment_id,comment_text
chelsea_7_7_7,18073165657433587,https://www.instagram.com/p/C4jZfLuL_xi/,JAJAJAJAJAJAJAJA
lapawiimx,18030001339929246,https://www.instagram.com/p/C4jZfLuL_xi/,😂😂😂😂😂😂😂
chuchozozaya,18017125139325146,https://www.instagram.com/p/C4jZfLuL_xi/,🤣🤣🤣
chiviscardenas_,17923789502852241,https://www.instagram.com/p/C4jZfLuL_xi/,Un besitooooo 😂😂😂😂😂😂😂😅😅😂 bastaaaaaaaaaaaaaaa
bethardz,17995064171563271,https://www.instagram.com/p/C4jZfLuL_xi/,😂😂😂😂😂😂
francesca.sc_,17995707446335473,https://www.instagram.com/p/C4jZfLuL_xi/,JAJAJAJAJAJAJAJA 😂
elrazikid,18059018419532647,https://www.instagram.com/p/C4jZfLuL_xi/,JJAJAJAJAJA eres un chingon
piposolis1,17936153495716116,https://www.instagram.com/p/C4jZfLuL_xi/,🔥🔥
mariadelrio2,17993570315545234,https://www.instagram.com/p/C4jZfLuL_xi/,👏
jc_sp90,18015966275509036,https://www.instagram.com/p/C4jZfLuL_xi/,@jernestoph aguas negras que salen de los cagaderos
guskavo_5,18427257475050957,https://www.instagram.com/p/C4jZfLuL_xi/,Jajaja recoger la 💩 con sus manos
lilycamino,17886787818007638,https://www.instagram.com/p/C4jZfLuL_xi/,Wey no estoy soportando JAJJAJAJ 😂😂
ismaucan_,17892797792918571,https://www.instagram.com/p/C4jZfLuL_xi/,JAJAJAJ NOOOOO 😂😂
ezarmdz,17965602110596368,https://www.instagram.com/p/C4jZfLuL_xi/,hahaha
muno_visual,18028586566798153,https://www.instagram.com/p/C4jZfLuL_xi/,Tienes mi voto.
auroraaumi,17953838828757622,https://www.instagram.com/p/C4jZfLuL_xi/,JAJAJAJAJAJA estoy amando durísimo @rafass7 @raul_pena7 @aziz.blogs @miguee_uitz
rafass7,18017379368321232,https://www.instagram.com/p/C4jZfLuL_xi/,@auroraaumi jajaja es chingon @eljuanamaro
auroraaumi,18022105442082245,https://www.instagram.com/p/C4jZfLuL_xi/,@rafass7 haciendo todo lo necesario por un Yucatán Más Mejor ❤️
rafass7,18080237059453725,https://www.instagram.com/p/C4jZfLuL_xi/,@auroraaumi jajaja así es
leentsuki,18035596363684817,https://www.instagram.com/p/C4jZfLuL_xi/,El señor ni idea de lo que está pasando 😂
marianacm,17935681484814854,https://www.instagram.com/p/C4jZfLuL_xi/,Amo esto jajaja ❤
