https://www.instagram.com/p/C56e30dCWKe/,hashtags:,#LaJuanósfera
username,comment_id,text
elchinofernandez,18041363344776693,😂😂😂😂😂😂😂😂😂😂😂
eljuanamaro,18310820815182689,@elchinofernandez nos extraño
lulutrejo__,17975922308534689,Final inesperado jajaja
charlytosis,18045028180672952,@lulutrejo__ esa es una forma muy linda de decirle bruto jajajajajjajajajajaja
eljuanamaro,17958033269635331,@charlytosis :(
charlytosis,17987651609637241,"@eljuanamaro coooooooñoooo bebé, no puedo presumirte así 😢"
