hashtags:,#CentroAprende,#MéridaContigoEsMejor
post_url,username,comment_id,comment_text
eljuanamaro,17933323785103535,https://www.instagram.com/p/DRSVddjjZwr/,Les voy a revelar TODO hoy 🔥
dannythegroomer,17844605958602195,https://www.instagram.com/p/DRSVddjjZwr/,🔥🔥🔥🔥
arturoleonmx,18083195507017482,https://www.instagram.com/p/DRSVddjjZwr/,@dannythegroomer ✨✨✨✨
iman_mid,17935857074984263,https://www.instagram.com/p/DRSVddjjZwr/,👏👏
arturoleonmx,18065823209125576,https://www.instagram.com/p/DRSVddjjZwr/,@iman_mid 😊💯
lmv119,18086066740823323,https://www.instagram.com/p/DRSVddjjZwr/,Cual es el costo?
arturoleonmx,18209009530313508,https://www.instagram.com/p/DRSVddjjZwr/,"Hola, es gratuito para más información puedes comunicarte al (999) 924 69 62 Extensión 81802 de lunes a viernes de 8:00 am a 3:00 pm. 😊"
nando.ley,18492078907075995,https://www.instagram.com/p/DRSVddjjZwr/,Cerca de my house top tolet 🔥
arturoleonmx,17946966717063719,https://www.instagram.com/p/DRSVddjjZwr/,@nando.ley ¡Excelente! 🤌🏽
cleomongeote,18094078936892351,https://www.instagram.com/p/DRSVddjjZwr/,Chido
arturoleonmx,18113533495514454,https://www.instagram.com/p/DRSVddjjZwr/,@cleomongeote 🙌🙌
