hashtags:,#standup,#standupcomedy,#comedia
post_url,username,comment_id,comment_text
ninamongeote,17926787477831935,https://www.instagram.com/p/C36GvisLv9g/,Te amo Juana Maro ❤
eljuanamaro,17867779332080674,https://www.instagram.com/p/C36GvisLv9g/,@ninamongeote te amo más Nina Monyiote ❤️
ninamongeote,17863406532054418,https://www.instagram.com/p/C36GvisLv9g/,❤❤❤
