hashtags:,#standup,#standupcomedy
post_url,username,comment_id,comment_text
dariocampoparedes,18006398810680962,https://www.instagram.com/p/DTbPEKTkmSV/,😂
hugo.rm87,18095864203921653,https://www.instagram.com/p/DTbPEKTkmSV/,Jajajaa buenísimo
alita_alamilla,18069177992161722,https://www.instagram.com/p/DTbPEKTkmSV/,Ash yo no me enteré de este!!! 😢
andrearandab_,17900191923358326,https://www.instagram.com/p/DTbPEKTkmSV/,JAJAJ nmms
diego.__mx,18557848894044351,https://www.instagram.com/p/DTbPEKTkmSV/,Jajajajajjajajaa
fcojaviercn,18190122688342421,https://www.instagram.com/p/DTbPEKTkmSV/,"Jajaja "" te vas a comer eso??"""
christianmunoz_,17898643065376230,https://www.instagram.com/p/DTbPEKTkmSV/,😂😂😂
jenniferquinonesj,17875184151470518,https://www.instagram.com/p/DTbPEKTkmSV/,De mi no vas a estar hablando 🗣️
lalocerin0,18085906213885332,https://www.instagram.com/p/DTbPEKTkmSV/,Si soy
aaltamiranoc,18079508342244042,https://www.instagram.com/p/DTbPEKTkmSV/,En la calle es fácil identificarlos: se quejan que ya hay muchos yucatecos en Yucatán
mrobles94_,18163434019404942,https://www.instagram.com/p/DTbPEKTkmSV/,"peak de la comedia meridana, frankly"
balandranoraul_locutor,18164191246396131,https://www.instagram.com/p/DTbPEKTkmSV/,"Como Tabasqueño adoptado, transformado en Yucateco adoptado lo confirmo jajajajaja"
jaasielreyes__260,18077009177339967,https://www.instagram.com/p/DTbPEKTkmSV/,1
angelv27,18108344887736037,https://www.instagram.com/p/DTbPEKTkmSV/,D
eliascalles,18091743848067140,https://www.instagram.com/p/DTbPEKTkmSV/,El mejor standupero de su casa. Más maaaaaaalo 🤢🤢🤢🤢🤢
lezcarrilloluis,18092376295953364,https://www.instagram.com/p/DTbPEKTkmSV/,Esa no es una tortuga... es una hicotea! 🤣
ruby___alvarez,18189424222348193,https://www.instagram.com/p/DTbPEKTkmSV/,@lezcarrilloluis un pochitoque jajsjsj
betoneutron,18088994822042804,https://www.instagram.com/p/DTbPEKTkmSV/,No todos los tabasqueños comemos tortugas 😂😂😂
clau_bushi,18084771614467953,https://www.instagram.com/p/DTbPEKTkmSV/,@melmilenial jajajaja
danterod,18078310787206348,https://www.instagram.com/p/DTbPEKTkmSV/,@itzlmntclr.13
itzlmntclr.13,18092701180782160,https://www.instagram.com/p/DTbPEKTkmSV/,@danterod Jajajaja no te pases
