https://www.instagram.com/p/C7crWIfp6jC/,hashtags:,#YucatánMásMejor
username,comment_id,text
joze_tony,18050997424649095,yo soy juan 😎🤠
nanybello,18035501356797480,😂
dianae15,18032393926960791,Te amo jajaa
joysmenendez,18022361939231098,"Este 2 de junio, vota Juancho ! ❌"
eldanniedarko,18022377836331587,JAJAJAJAJAJAJAJA YO SOY JUAN 😂
delfy_mayen,18091524283437754,"Juancho, juancho juancho! Juancho presidente! De México!"
addy_romeroag,18009170234447231,😂😂😂
arbelypedro_,17923407377907189,Jsjsjsjsjajjajajajajajajajaj
vickyhevia,17981569817679283,JAJAJAJAJJAJAJAJAJAJAJAJAJAJAJA
neydi.gutierrez.7399,18338560831186258,😂😂😂😂
kristel.guzman,18007701185595418,😂😂
danyisra02,17844427245220680,JSJS
ladyaccesorios1,18023063606277864,😂😂😂😂😂
frikilara,17940825761819213,Jajajaajajaa #yosoyjuan JAJAJAJAJAA
rodrigo_mis_,18063891052555934,Los candidatos mandan a sus perros que nadie iría a lo gratis a gritar bajo el sol 😂😂😂
rodrigo_mis_,17858567067170816,👏jajajaja
castilloerick24,17927609399785788,Huacho que? Yucatán Más Mejor con Juancho es lo de hoy 🙌🏼🙌🏼
michelleacevedoh,18053198476564535,😂😂😂😂
reginaarandabargas,18047541124685323,😂
pawwcampos,17991835526647105,😂😂😂😂😂😂
melisamena,18007967420591847,Arribaaa Juancho 🙌🙌
dannaarjmx_,18037360321753368,JAJSJAJSJAJAJAJA
magu_lopezzz,17997688463402936,Jajajjajaja q no se acabe. Nunca 😂
misterfulanito,18018254717337908,Me estoy muriendo jajajajja eres y. Pendejo jajajajajajaja
