https://www.instagram.com/p/DJ8BZOxuh0a/,hashtags:,#GenZ
username,comment_id,text
peloteroalabolaa,18294903835220391,Tremendos strikes lanzaron!! 🔥🔥
eljuanamaro,17875046772240196,Muchas gracias 🔥
leonesdeyucatan,17902855401177573,@eljuanamaro 😎🦁
luciaayala._,18055954268209476,"Lo repetiría mil veces más, muchas gracias familia🦁🩷"
leonesdeyucatan,17953778318951178,@luciaayala._ 🫶🏼🦁
fervaldez89,18176586826323452,Y rigel? Jaja
leonesdeyucatan,17995009385799696,@fervaldez89 El tomó la foto 📸
daricecilio,18031152635397929,😍😍😍
gabrielacruz_1702,18123590134442818,❤️❤️❤️❤️
kikinajn,18101510386536839,Pudieron invitar a otra influencer e invitan a esa Morra que nada que ver 😂
angel___delmar,18047348906147195,👏👏
rodrigo_martinq,18053470982200898,😮😮😮😮
mfl76,18044709107548884,#todosomosrigel
rmyerss_,18115453894425359,Apuesto que ganen diablos
eljuanamaro,18061121405139661,@rmyerss_ alguien bloquee a este cawn
rmyerss_,18309334528208148,@eljuanamaro 😂
fernandit07,17969618744750808,@rmyerss_ buen negocio eh!!!😂
la_chizpx,18105242296518627,El famosísimo macho rigel
itsfridahsofia,18075119113698997,Bye leones!
