https://www.instagram.com/p/DKyVyKVANut/,hashtags:,"#1,"
username,comment_id,text
chachoesgenial,18087650254653651,Aún hay boletos?
eljuanamaro,18087449917578366,@chachoesgenial SOLD OUT
latiachayooficial,18107749450517957,❤️❤️❤️🙌 éxito bb 🙌❤️❤️❤️
figueroadz_,18041876033292232,Otra fecha padre
fanomx,18045735071562411,SIIIIIIUUUU 👏😍
ninamongeote,18072234406944062,Orgullo yucateco 😍😍😍
karenloraynne,18332346700163925,ustedes papis pq yo si voy
ursuliuxx,18329654707163712,No hay un lugar aunque sea de pie?? Jajajaja 😮😮
fabricio.perulles,18137545249407154,Abre otra fecha😢😭
chuchozozaya,18008081117593786,Se logró! 👏🏼👏🏼👏🏼
angela_bacelis,18510171136042812,Ya valió @yavliz @josetec04
yavliz,18049190330158448,@angela_bacelis jajajaja
maytecorona,18084851233664772,Tu dale con todo Juanito 😌
alita_alamilla,17883535641301068,Boletos ✅️
pollomf555,18067204069855237,Cuando tenga hijos les diré que este es kaliman.🔥🔥
ensyamaro,18075180991913775,abre otra fecha
cristinadecolores,18371642848131799,👏🏼👏🏼👏🏼👏🏼🔥🔥🔥🔥
frikilara,18033952643661118,🙌🙌🙌
ensyamaro,18110448967448247,más inso es imposible
soypedro.99,18117432076474366,🙌🙌🙌
kichicaceres,17932618796935287,Eso👏👏
_diegomay_,18034677428385176,Otra fecha x2 👏
jessi__994,18138507715405014,👏👏👏👏👏👏👏
juanbaquedano_,18066786968095538,👏🏼
julio_chok,17881344543321866,Grande papi
davidhoc,18084604585739189,Yo 😢
jesuseduardo0305,17968519364764479,Otra fecha
gabon04,18302383411170337,Saca otra fecha no seas jajajaj
serchmm,17922205083088613,Abre otra fecha para puro  top tollet International!! No seas rigel..
rodriarandanoo,17894803902123904,Esoooo
herreracinthia28,18159072499366727,Otra fecha pooooor favor 👏😢
carlos.c.carrillo.14,18073905160742040,Evento de high pedorrage!!!!🔥🙌
ursuliuxx,18060278377977496,Yo mera .. 😢
emiliogsc,17994981092802398,Tremendo gallo
elpiolincalderon,18073293187922340,Maricon! El que no se quede afuera para por lo menos demostrar el cariño y apoyo que este talentoso maestro merece!
miguelmald_,18077857975876991,Maldita perra madre 😭
