hashtags:,#xmatkuil2023,#yucatan
post_url,username,comment_id,comment_text
josemigueltako,17868844796985052,https://www.instagram.com/p/C0NIMaxrE-1/,JAJAJAJA me paso lo mismo
eljuanamaro,17958520679678507,https://www.instagram.com/p/C0NIMaxrE-1/,@josemigueltako es horrible 😢
michelleacevedoh,18385419514067686,https://www.instagram.com/p/C0NIMaxrE-1/,😂😂😂😂
eljuanamaro,18292426045150470,https://www.instagram.com/p/C0NIMaxrE-1/,@michelleacevedoh 🤪🤪🤪
