hashtags:,#eclipse,#eclipsesolar
post_url,username,comment_id,comment_text
jairthegiant,17868259611077577,https://www.instagram.com/p/C5gyY2Yvn4i/,Yo ese
johnnromero,17924954534779822,https://www.instagram.com/p/C5gyY2Yvn4i/,😂
germansantoz,18310457290181108,https://www.instagram.com/p/C5gyY2Yvn4i/,😂
alam.trejo_,18135227548325230,https://www.instagram.com/p/C5gyY2Yvn4i/,😂😂😂
tonypantojab,17879178702050257,https://www.instagram.com/p/C5gyY2Yvn4i/,Wow #estuvo muy bueno el #eclipse
juanpis.juanpis,17876442177060736,https://www.instagram.com/p/C5gyY2Yvn4i/,Jajajajajajaja
georgemunchon,17854246131127877,https://www.instagram.com/p/C5gyY2Yvn4i/,alta actuación el kubinnn 🔥
