hashtags:,#Yucatán,#YucatánMásMejor
post_url,username,comment_id,comment_text
zuenoluzido,18054607621610083,https://www.instagram.com/p/C4JI6gkrhE8/,Booombsaaaa
esauitza,18031851376879684,https://www.instagram.com/p/C4JI6gkrhE8/,"Que marca son esos pantalones? Yo quiero unos así, muestan un perrote"
eljuanamaro,18008332313467096,https://www.instagram.com/p/C4JI6gkrhE8/,@esauitza en esta cuenta traemos los pantalones bien puestos 👌🏻👖
balandranoraul_locutor,17902702691950748,https://www.instagram.com/p/C4JI6gkrhE8/,👏👏👏👏👏
balandranoraul_locutor,18024113005982177,https://www.instagram.com/p/C4JI6gkrhE8/,“Huele a mamá” jajaja
eloxurdapilleta,18000924674248029,https://www.instagram.com/p/C4JI6gkrhE8/,Duro
emilio_palma,18018532496292409,https://www.instagram.com/p/C4JI6gkrhE8/,Mi vida que lindo!!!❤️
eljuanamaro,18044188540635887,https://www.instagram.com/p/C4JI6gkrhE8/,@emilio_palma MUY LINDO
mikegamboa17,18312331705121961,https://www.instagram.com/p/C4JI6gkrhE8/,El pescado somos todos
eljuanamaro,18417041050017562,https://www.instagram.com/p/C4JI6gkrhE8/,@mikegamboa17 asi es 🫡
guskavo_5,18002316155431352,https://www.instagram.com/p/C4JI6gkrhE8/,😂 Pareces Mario delgado carnal
adriangalvara,17999304896273210,https://www.instagram.com/p/C4JI6gkrhE8/,😂😂😂😂
cristinadecolores,17975580875671482,https://www.instagram.com/p/C4JI6gkrhE8/,"Ese pescado tenía algo que decir y se le permitió el espacio para hacerlo, algo nunca antes visto. Un Yucatán más mejor es lo que necesitamos #VotaAmaro 🤘🏼🔥"
eljuanamaro,18000696815453303,https://www.instagram.com/p/C4JI6gkrhE8/,@soycristinadecolores así es yo estoy aquí para la gente 🫶🏻
irvingcas,18052306585575185,https://www.instagram.com/p/C4JI6gkrhE8/,"Grandísimo mi licenciado, dando voz"
eljuanamaro,17844541860175454,https://www.instagram.com/p/C4JI6gkrhE8/,@irvingcas siempre exponiendo a lo que mas lo necesitan 💪🏻 #Yucatán #Exponer #Pesca
ninamongeote,18011916617252051,https://www.instagram.com/p/C4JI6gkrhE8/,Hahahahhaha 🤣😂 ya me dio una cátedra y ni supe su nombre
eljuanamaro,18425901100050295,https://www.instagram.com/p/C4JI6gkrhE8/,@ninamongeote el pescado mas woke de #Yucatán #YucatánMásMejor
frxnkstevens,17996926403582368,https://www.instagram.com/p/C4JI6gkrhE8/,No le gusta nada a este pescado
eljuanamaro,18044470327714624,https://www.instagram.com/p/C4JI6gkrhE8/,@frxnkstevens Pura denuncia ni respondió mi pregunta
