https://www.instagram.com/p/C7cqgAsJTWv/,hashtags:,#YucatánMásMejor
username,comment_id,text
elevationmood,18004716929530282,"Mejor generar un departamento de Ecología que se encargue de reducir el impacto que el cartel inmobiliario y el “crecimiento” que generó el gobierno anterior.  Porque plantar árboles porque si no es la solución, necesitas ciencia. @renanbarreraconcha"
laveros,17979579251549864,Se dará cuenta @renanbarreraconcha de cuánto contribuye a la deforestación y  el aumento en las temperaturas ?
lecirquegaleria,18109828411379203,Que pena
vickosalas,18300616936083894,@arturo.arco alv ya no es gracioso ahora da miedo
chemarock,18026885756114877,Jajajajajajaja huacho no tiene nada que hacer en esta campaña jajajajajajajaja golpe al hígado una semana antes de la elección
iancrobertson,18039719056810259,JAJAJAJAJA
gerardcm1120,18309185638198545,La cagast3 todo iba bien hasta que metiste a un político real y sobre todo a ese
chrisceballosp,18021064292238559,2 potencias se saludan
alex.ca.ja,18005064926307776,Vendidisimo
fernadopap,18417701008068179,JAJAJAJAJA
alekacampos,18057060937548126,"La persona que mas quita árboles, hablando de áreas verdes jajaja gatumaeeee"
abdielivangg,18008942468450274,En el fondo de su cora @renanbarreraconcha sabe que la de aires acondicionados es buena
ramosrasec,17999335280620857,Lo de la chela si lo estaba considerando 😂
yossanysl,18047990917733791,Jajajajajaja buenisiiiimo❤️
emilio_palma,18021553406239972,Increíble  candidato🔥👏
diana_mids,17899199291915949,No tienes vergüenza Renan.... Tu convertiste está ciudad en una plancha de concreto
chava66666,17998680551384614,😂😂😂😂
blissericka,18042605812878478,Sorprendente
addy_romeroag,18034367500949627,😂😂😂
perezglez_01,18065288641537757,🙌🙌🙌🙌🙌🙌
andrearandab_,18349931635107174,JAJAJA pronto veremos alguna de tus propuestas casualmente hechas realidad😂
andrearandab_,18141047515322828,NMMMMS
jessi__994,18022486313238002,Voto por el domo ✨👌🏿 #porunyucatanmasmejor
paolajanetx,18016606256096930,pero si entendió renan que él es el problema?
horacioalmada,18007153838445547,"En seis años por la grande, bebé!"
pantiado,18065453830534351,"No bro :( ya no, unfollow"
isabelune,18169350652306083,@pantiado same :/
chemarock,17925053201864960,@pantiado largo de aquí florecitas
patricio.1970__,17904988193972582,Jajajaja buenísimo
milacastro9,17858456784171020,"Árboles de ciruela pasa, dice Renan. 😂😂"
neydi.gutierrez.7399,18078006631441962,Hay que risa
ivanhc9,17907183860968572,JAJAJAJAJAKAJA MALLA SOMBRA JAJAJAJA COLABORACIÓN 10/10
capibara_espinosa,17925932126881888,Eso hicieron en el deportivo Kukulcán es una plancha de calor ! 😢 @renanbarreraconcha no lo permita de nuevo
azevidal.exe,18029176292092547,😂😂😂😂
