https://www.instagram.com/p/C4n8aRkr9h3/,hashtags:,#YucatánMásMejor
username,comment_id,text
monsemspa,18044926942692124,@cinthya_1285
gogoromero,18256873750213431,Jajaja te extraño
gogoromero,17869078998083435,@hmms10
gogoromero,18423556738054538,@÷
lapawiimx,18342981814100169,Me indigna que hagas pensar al pueblo @eljuanamaro JAJAJJAA
eljuanamaro,18229704517301717,@lapawiimx échenle ganas
elbiologocamarografo,17934219200731353,Jajajaja te mms 🤣😂 si fuera de Yucatán que rrrico sería comer coco :v
kichicaceres,18255406954241796,El futuro de Yucatán 👏🤣
emanuel99__,18039961258685303,Eres el mayor candidato a ganar🙌❤️. Desde el puerto hasta mi casa.
rafarg23,18118622677358011,Veremos cuántos votos para Juan amaro aparecerán en las urnas
carlos_titiriti,18089576689424655,"Ya tenemos a Tina y usted quiere ser su...patiño, sketch politico. Que futuro hay si creemos que los servidores publicos son ocurrentes comicos,parodiantes que  dan  pan y circo. Siga asi que parezca que es distintos a los politicos y despues sera igual. Queremos garantia de profesionalismo en el servicio publico, responsable y serio."
eljuanamaro,18258288274239825,"@carlos_titiriti Pan no, pay. Pay de coco."
carlos_titiriti,18029407795770002,@eljuanamaro coco lazos
chelsea_7_7_7,17992462826615236,"No me parece que los políticos le roben sus frases célebres a los emprendedores, cuanto más le van a robar al pueblo? * 😂"
eljuanamaro,18040936696736241,@chelsea_7_7_7 Don Goyo de los Cocos me ayudó a escribir este spot entonces fue más como un préstamo
andreatamayocs,18034413604878916,Que carajos quisiste decir Jajajajajjajaaja😂
elbohris,17918001299881597,😂😂😂😂😂😂
sadhervazquez,17981677202652902,Coco-combo breaker!!!
ninamongeote,17959133327623143,🤣🤣😂😂 me haces el día
preciadoraul,18040668274705906,JAJAJAJA
adiremdc,17959790204729493,JAJAJAJAJAJAJA
denisse_nm,17938389869802617,Ya tiene mi voto sr Juan Amaro
ensyamaro,18080833135443711,puras promesas al aire
marcoamaroq,17989375976429529,en tus manos definitivamente yucatan será más mejor
emilio_palma,18013817576193766,"Excelente  mi futuro gobernador, cada día me siento más convencido que usted es la mejor opción"
memo_patron,18246189613220341,Me mamas! 😂😂
iaddygrz,18030915823914126,JAJAJA
ariosto_sp,18037582918805571,Jajajaajjaa Alv
rosarockbell,17968060271703679,🤣🤣🤣🤣
