hashtags:,#veracruz,#standup,#licenciaturas
post_url,username,comment_id,comment_text
bitch,18061969297426092,https://www.instagram.com/p/CzHFkJmLQVJ/,@eljuanamaro We just left you a message from @betch.content about your video
andresgtz_c,18104247109352812,https://www.instagram.com/p/CzHFkJmLQVJ/,@ceciliaaesc @jeroaranda
andresgtz_c,18008744195050200,https://www.instagram.com/p/CzHFkJmLQVJ/,😂😂😂😂
ansitox,18396261847038351,https://www.instagram.com/p/CzHFkJmLQVJ/,Don cangrejo dando clases de finanzas
eljuanamaro,17984898983298000,https://www.instagram.com/p/CzHFkJmLQVJ/,@ansitox 😂😂
laura_coronado109,17922061388712593,https://www.instagram.com/p/CzHFkJmLQVJ/,JAJAJA
eljuanamaro,17908467104846628,https://www.instagram.com/p/CzHFkJmLQVJ/,@laura_coronado109 😂😂
elenaarguello,17887561457943896,https://www.instagram.com/p/CzHFkJmLQVJ/,@sergio.cruz99 !!
eljuanamaro,17857770096049537,https://www.instagram.com/p/CzHFkJmLQVJ/,@elenaarguello 😂😂😂
