https://www.instagram.com/p/CUv_aA4LWZj/,hashtags:,#Hipocresía
username,comment_id,text
jazzzbuster,17846194490652743,Duro
tuki_sabran,17896028975365945,No hay para verlo desde Cholula? Jajaja
tuki_sabran,17875692431557425,UFFFF QUE JOYAAA!!
pedro_chavez2212,17949329866552991,👏👏👏👏 eso man 👏👏👏👏
eljuanamaro,17900188565183534,@pedro_chavez2212 🙆🏻‍♂️
melissa_anderson_003,17923311955895914,Ahhh perrrrro
eljuanamaro,18245601190066376,@limonhada_comedy traigo la campechana
melissa_anderson_003,18194144692140186,@cachoamaro muchísima mierda papi chulo
poncianotroyo,18258838195027627,Eso mamona!
eljuanamaro,17915521175017104,@poncianotroyo nos extraño
poncianotroyo,17934723304670701,@cachoamaro invítame a tallerear ññ
eljuanamaro,17895176645372571,@poncianotroyo siii! Que se arme esta semana
cookiecastt,17899786022188226,QUIERO IR
eljuanamaro,17856056243637660,@cookiecastt vamos!!
cookiecastt,17912277053084759,WOW
cookiecastt,17923274683798034,QUE ORGULLOSA ME SIWNTOOOO
theartofshutdown,18174653983159920,déjame hacerte un oral
eljuanamaro,17919914179852169,@gatarompehogaresgrrr ajá mínimo pídemelo por favor
