hashtags:,#Yucatán,#YucatánMásMejor
post_url,username,comment_id,comment_text
gonzalezjose_,18056432287552653,https://www.instagram.com/p/C7vXtW-Au7I/,Espero con ansias ver el domo en mi linda Merida mi gober😍
cabrera_diaz_diana,18353585680100887,https://www.instagram.com/p/C7vXtW-Au7I/,Ya quiero ver los bebederos de cerveza 🍺 🤭
mishelcd,17998200179398583,https://www.instagram.com/p/C7vXtW-Au7I/,😂😂😂 amo
loreelizama,17916843065929308,https://www.instagram.com/p/C7vXtW-Au7I/,Si ganabas con Yucatan más mejor 🙌 ahí se fue mi voto 😂
cucarachomacho,18324482482120122,https://www.instagram.com/p/C7vXtW-Au7I/,🔥
ranitapunk_lafernandez,18144085285323277,https://www.instagram.com/p/C7vXtW-Au7I/,👏👏😂 rifado
________________apdm,18059558632605814,https://www.instagram.com/p/C7vXtW-Au7I/,yucatán más mejor 💙
triayfrance,18263382532213637,https://www.instagram.com/p/C7vXtW-Au7I/,😂😂😂
castilloerick24,18044052430677259,https://www.instagram.com/p/C7vXtW-Au7I/,"Eso es todo mi gober, ya ando esperando mis bebederos de cerveza en las esquinas 🙌🏻"
eljuanamaro,17942700371817764,https://www.instagram.com/p/C7vXtW-Au7I/,@castillo_erick_24 es lo primero que vamos a hacer porque es lo primero que #Yucatán quiere hacer
thebossllerina,18037722502758326,https://www.instagram.com/p/C7vXtW-Au7I/,😍
thebossllerina,18256375135218482,https://www.instagram.com/p/C7vXtW-Au7I/,👏Triunfo 🏆 bien merecido
eljuanamaro,17904349430902170,https://www.instagram.com/p/C7vXtW-Au7I/,"@thebossllerina se avisó, se cumplió 💪🏻💜🧡💙"
kchyjoubert,18047815003705919,https://www.instagram.com/p/C7vXtW-Au7I/,Siempre se supo que hoy era “Puro Tramite”
eljuanamaro,18030881905890420,https://www.instagram.com/p/C7vXtW-Au7I/,@kchyjoubert se sabe se dijo 💪🏻💜🧡💙
georgemunchon,18397884523079990,https://www.instagram.com/p/C7vXtW-Au7I/,🔥🔥🔥
israads,18049567129666487,https://www.instagram.com/p/C7vXtW-Au7I/,como debe ser
eljuanamaro,18036856741898062,https://www.instagram.com/p/C7vXtW-Au7I/,@israads como DIOS MANDA 🙏🏻🕊
wizbarrera,17871980907099935,https://www.instagram.com/p/C7vXtW-Au7I/,Ahora sí a poner las maruchan en las calles y quitar esos feos baches!!
eljuanamaro,17866016268090376,https://www.instagram.com/p/C7vXtW-Au7I/,@wizbarrera todas  las propuestas se realizaran en los primeros 3 años después ya veremos que hacer
jorgecarlosalonzo,18031149287066711,https://www.instagram.com/p/C7vXtW-Au7I/,Todos los Yucatecos lo sabíamos mi Gober ahora si vamos al monumento 👏🏼🙌🏼
eljuanamaro,18318431236180653,https://www.instagram.com/p/C7vXtW-Au7I/,@jorgecarlosalonzo fiesta en Palacio claro que si 💪🏻🔥
