https://www.instagram.com/p/DRVESzmiHQT/,hashtags:,#TúAwards
username,comment_id,text
angelquintal2023,18090875974931408,Quienes? Awards que?
eljuanamaro,17887950807265842,"@angelquintal2023 ponte pilas Angel, si no no estés de preguntón"
jeffanthonyph,18544417972035677,"Juan amaro es el mejor , su comedia es muy limpia 🙌"
jenyfer.benitez,18305352580252880,😍❤️❤️❤️
cleomongeote,17927886354158896,Te faltaron otras personalidades que estuvieron ahí y brillaron también.
luceransky,18335775181237779,Seguro que fue Rigel quien costuro esos rosones jajajajaja
jorge_amoet,18026712959780994,El Juan amaro tirando brillo como siempre cawn 🔥
jorgetadeo60,17871666528387039,RIGELLLLLLLLL
izarzamudio,18096920383836375,Ese muchacho  es hombre o que es ? Jiji
gzamoran0,17947915284060566,Orgullo? Es una vergüenza ver cómo celebran la mediocridad
dioragabanna,18082352974869384,Quieren imponer moda y terminan cayendo en lo ridiculo
dioragabanna,18063892169165132,Dejen de hacer famosos a gente tan ridícula sin nada que aportar
jazcuaga,18078262163165704,Que raro que toda la porqueria que hay ahora sean vestidos de mujer
ceidyazcorra,18072943151034571,@lachinirupe Te amo 😍
________6.6.six.6,18091530658924185,@sad.saturnv_v ya hacen concursos de no dar gracia en el estado 😮
emmanuel.vinajera,18055443929322646,Inicie el año como @lachinirupe y lo termine como Zorraya JAJAJAJAJA
