https://www.instagram.com/p/DT3ig6KDu4c/,hashtags:,#TalentoYuca
username,comment_id,text
eljuanamaro,17872953459420800,😍😍
rommaldana,18419850829143351,@eljuanamaro por qué no avisas que le vas a caer a Caucel cawn?!!
like.caucel,17995357868883952,@eljuanamaro ¡Un placer habernos divertido juntos! 👏🔥❤️
julioenava040154,18392821378176347,👏👏👏🙌
duarteactor,18099878017893185,Que chongooon felicidades Yucas
larisalanegra,18071354315382464,Los amo mucho!!! @chemadepie @werarapera @latiachayooficial ❤️❤️❤️ y fo @eljuanamaro 🤢(😜😜)
uri_ip_ip,18091857130821785,
pepematabarbaroja,18104243662773162,Cuanta crema y nata…digo…cuanta cochinita pibil en un solo video macho! 🤌🏽🤌🏽🤌🏽
cesar_u2604,18082360747962109,@rperez_999 por eso andaba lleno
