hashtags:,#yucatánmásmejor,#másmejoridad
post_url,username,comment_id,comment_text
neydi.gutierrez.7399,17873640960188529,https://www.instagram.com/p/DAluhIZpkoV/,Excelente hijito como nos diviertes 🙏❤️
andreaesbien,18040827431490974,https://www.instagram.com/p/DAluhIZpkoV/,POR FIN! El primer candidato en PRI RI ZAR  la másmejoridad. 👏 Un abrazo mi amigo Don presi precioso. 🥇
_guillermomedia,18043725304842854,https://www.instagram.com/p/DAluhIZpkoV/,Vamos con todoooo🔥
soymauricioarouesty,18122533777380271,https://www.instagram.com/p/DAluhIZpkoV/,Yo quiero participar en ese sindicato hidratante 🙌
srjavi.olan,18094134628466382,https://www.instagram.com/p/DAluhIZpkoV/,No están cansandos ya de las mentiras de este candidato?
srjavi.olan,18079331251532819,https://www.instagram.com/p/DAluhIZpkoV/,"porque yo no, donde firmó para mí bebedero 😍?"
xnomoleitorx,17934656054799003,https://www.instagram.com/p/DAluhIZpkoV/,Un virabuch jaja
roman.k.a,17913649676913901,https://www.instagram.com/p/DAluhIZpkoV/,"Excelente Secretario, ojalá tu ejemplo permee en mi Quintana Roo 🍺🍺"
adriangalvara,18048620608780390,https://www.instagram.com/p/DAluhIZpkoV/,"Que gran noticia señor secretario, se siente la humildad, pero sobre todo la más mejoridad creciendo en la ciudad, por fin el pueblo regresó al palacio 🍺🥪"
cabrera_diaz_diana,18312308059091528,https://www.instagram.com/p/DAluhIZpkoV/,👏👏👏 bravo @eljuanamaro
rubenriosc,18269064640223898,https://www.instagram.com/p/DAluhIZpkoV/,Presi suspenda alcoholímetros y promueva la venta de alcohol 24/7
thebossllerina,18026230448379826,https://www.instagram.com/p/DAluhIZpkoV/,😂😂😂😂😂😂😂😂😂😂😂😂😂
jairescamillab,18049195336749240,https://www.instagram.com/p/DAluhIZpkoV/,@joaquinchanespinosa
kasdelesco,17939621456868560,https://www.instagram.com/p/DAluhIZpkoV/,Tu video esta más chido que el de huacho
ferevia,18046252774951428,https://www.instagram.com/p/DAluhIZpkoV/,Grande ídolo!! Por un Yucatán más mejor y menos sediento!! 🙌🏻🙌🏻🍺🍻
latiachayooficial,18045360496958128,https://www.instagram.com/p/DAluhIZpkoV/,😂😂😂
fresco_mid,18030690995073042,https://www.instagram.com/p/DAluhIZpkoV/,🔥👏 vamos con todo!!!
misscuyin,17911246572007657,https://www.instagram.com/p/DAluhIZpkoV/,Tiene mi voto ❤️😂
elcocoyol,18121196467391449,https://www.instagram.com/p/DAluhIZpkoV/,Presi lo apoyo si me hace diputado 😂😂😂
ladyazurion,18028594274366763,https://www.instagram.com/p/DAluhIZpkoV/,😂😂😂😂
mario_gsc,17856117627269127,https://www.instagram.com/p/DAluhIZpkoV/,El borracho de renan debe de estar de ley en esa secretaria
rosa.montalvo6,18019758683613225,https://www.instagram.com/p/DAluhIZpkoV/,😂😂😂😂😂
ninamongeote,18023799596595984,https://www.instagram.com/p/DAluhIZpkoV/,🔝🔥
ninamongeote,18102233893403982,https://www.instagram.com/p/DAluhIZpkoV/,Por que se tarda tanto este video? 😍🤤
miguelseguirv,18041472221043777,https://www.instagram.com/p/DAluhIZpkoV/,Con todo macho caom ❤️🙌
jorgeflowres,18043245424869459,https://www.instagram.com/p/DAluhIZpkoV/,Masmejoridad🤣
pablosondasandoval,18071117650599820,https://www.instagram.com/p/DAluhIZpkoV/,Jean Paul Pech sin duda dirijo esas tomas y fotografías!!!
israads,18284938069239783,https://www.instagram.com/p/DAluhIZpkoV/,Hay que inaugurar el primer bebedero para Merida! Donde firmo?
selianrebolledo01,17988214658720459,https://www.instagram.com/p/DAluhIZpkoV/,Jajajajaj Serbeseria😂😂😂
elchinofernandez,18009998066401303,https://www.instagram.com/p/DAluhIZpkoV/,Gracias mi Presi
kevinpiniaa,18023351549523953,https://www.instagram.com/p/DAluhIZpkoV/,"EL PUEBLO REGRESÓ AL PALACIO, EXCELENTE NOTICIA Y TODO EL ÉXITO DEL MUNDO DIPUTADO"
eljuanamaro,18006251795477992,https://www.instagram.com/p/DAluhIZpkoV/,@kevinpiniaa a la orden 🫡
rafetorr,18003406766661762,https://www.instagram.com/p/DAluhIZpkoV/,Líder
eljuanamaro,17885108721102809,https://www.instagram.com/p/DAluhIZpkoV/,@rafetorr A sus órdenes 🫡
emilio_palma,18264404614247292,https://www.instagram.com/p/DAluhIZpkoV/,No olvide los bebederos  de 🍺 👏
eljuanamaro,17945074517763978,https://www.instagram.com/p/DAluhIZpkoV/,@emilio_palma esa propuesta es PRIORIDAD
joss_batfit,17983425182722736,https://www.instagram.com/p/DAluhIZpkoV/,Yo dono leche de macho 👏
eljuanamaro,18043643602861103,https://www.instagram.com/p/DAluhIZpkoV/,@joss_batfit llena de electrolitos y proteínas ideales para una alimentación balanceada
marioluna.97,18014887985540407,https://www.instagram.com/p/DAluhIZpkoV/,"Bien por usted líder, esperemos que no pase del trago a acabarse la botella, acuérdese de su gente que por eso esta allí. 
Lo esperamos en pedregales sabe que esta su casa hoy martes hay picadillo rojo x si gusta, bendición."
eljuanamaro,18021793550428087,https://www.instagram.com/p/DAluhIZpkoV/,@marioluna.97 mi gente se viene conmigo porque si yo voy nos venimos todos
angelsss1,18314659432082031,https://www.instagram.com/p/DAluhIZpkoV/,Mi chapulin ❤️
eljuanamaro,18127478011342947,https://www.instagram.com/p/DAluhIZpkoV/,@angelsss1 🦗
