https://www.instagram.com/p/Cs-FXs5s1hS/,hashtags:,#LaJuanósfera
username,comment_id,text
elrazikid,17977450079490905,gpi a la botarga
elrazikid,18006124744696150,jajajajaja buenisimo
eljuanamaro,17905226198788567,@elrazikid a la orden macizo 🫡🫡🫡
