hashtags:,#standupcomedy,#contentcreator
post_url,username,comment_id,comment_text
estudioscar,17955531071622880,https://www.instagram.com/p/CuF-6xxx_Wp/,Jajajajajajaj isaac newton
eljuanamaro,17962173491397018,https://www.instagram.com/p/CuF-6xxx_Wp/,@tudioscar 😂😂
triayfrance,17976898700366014,https://www.instagram.com/p/CuF-6xxx_Wp/,@yoyiberto 😂
mikegamboa17,17942370833656884,https://www.instagram.com/p/CuF-6xxx_Wp/,Así dice mi abue
mikegamboa17,18237266860201054,https://www.instagram.com/p/CuF-6xxx_Wp/,Jajajaja lo del ingeniero es real
eljuanamaro,17984849810237733,https://www.instagram.com/p/CuF-6xxx_Wp/,@mikegamboa17 ya se 🥲
iamreneegora,17935323641693083,https://www.instagram.com/p/CuF-6xxx_Wp/,Imagine la escena totalmente jajaja jajaja jajaja jajaja jajaja jajaja jajaja jajaja jajaja
eljuanamaro,17910861257780672,https://www.instagram.com/p/CuF-6xxx_Wp/,@iamreneegora 🤣🤣🤣
_pedro_alarcon,17983800062232270,https://www.instagram.com/p/CuF-6xxx_Wp/,😂😂😂
eljuanamaro,18012232837672352,https://www.instagram.com/p/CuF-6xxx_Wp/,@_pedro_alarcon 🤣🤣🤣
