https://www.instagram.com/p/C7ks9CHgJLL/,hashtags:,#YucatánMásMejor
username,comment_id,text
willyperez9,18335724382184018,😂😂😂
israads,18027235343123014,Saca la parodia cuando ganes que haces?
eljuanamaro,18031768196006618,@israads lo veremos mañana
israads,18026855524942178,@eljuanamaro tienes mi voto seguro <3 de aquí para presidente
dino_toof,17882304408064406,🤡🤡
marianaderas,17946656561732237,😂😂😂
aldairosorio_,18013737908163020,😂😂 2 de junio tienes mi voto
ale_peniche25,17982738047528165,"Tenes mi voto,  sigue haciendo videos. 👏👏"
reginaarandabargas,18325681699125885,😂
thebossllerina,17996784302630900,Jajajajajajajaja 😂 por favor aunque pasen las elecciones no dejes de hacer esta parodia política 👏
neydi.gutierrez.7399,17926847102874817,Yo voy a votar por tu partido hijito cuenta con nuestro voto ya que con eso seguro ganas y te llevas de calle a los demás ya que de familia somos como 300 personas
neydi.gutierrez.7399,18025285817136760,Hijito me encantas solo me preocupa qye ya mañana ya no hay campañas esta prohibido 😆😆😆😆😆 a menos que tú hayas solicitado permiso hasta para el sábado 😆😆😆😆
monsemspa,17984589041674863,@cinthya_1285 jajajaja
lucisegovia2,17998895162626703,❤️🙌
pepealmar,17886427305047569,"Por eso deshacemos Yucatán, para re-hacerlo más mejor. 🤣"
jgisselles,18027084242509444,😂😂😂😂😂
sharely_dz27,17900809919994355,Tu resuelves papi🔥❤️
flacidodomingo_,18006815102279840,Genio carajo
tadeotunp,18030331952012529,El domingo estamos fuertes contigo🙌
fabricio.perulles,17969379128725893,Definitivamente eres la mejor opción para este domingo🙌
fannycueva,17915186999937327,Haciendo que Yucatan Resuelva. #masmejor
eljuanamaro,18023694281320829,@fannycueva que se pongan pilas 🔋
mafvalencia,18040665256807066,😂😂😂😂😂
lilii.cn,17995763549457757,Jajajajajajaja cualquier parecido a la realidad mera coincidencia
georgemunchon,17972097089598484,cómo es que no quisiste salir en este? 😔 @renanbarreraconcha
_pedro_alarcon,18052419145723428,@georgemunchon 🤣🤣🤣🤣
vilma.italia,18066879979544203,😂
nurrselector,17897104104006277,Que acurrate este pedo
arboledamiga,17882839289999977,Parece chiste pero es anécdota.
nurrselector,18242207404301755,Jajajajaj
