https://www.instagram.com/p/DBPnGfAy92A/,hashtags:,#Másmejoridad
username,comment_id,text
manologca,18044113334034402,Haha eres una máquina 🔥
sabine.aaa,18151076083332477,Trabajas MAS QUE EL CHI-CHI RULO OSORIO. 👏
adriangalvara,17869312635142275,"Este si es un candidato de alto pedorraje y entiende perfectamente al pueblo, sabemos y creemos fervientemente que sabrá llevar a la secretaría de refrigerios y bebidas hidratantes a la más mejoridad de Yucatán. ❤️‍🩹🔥 @eljuanamaro"
emilio_palma,18058820827765977,Estoy esperando los bebederos  de cerveza 🍺
chuchopitza,18045727337051581,Diputado pida que el carnaval se pase a paseo de Montejo por favor 👏❤️ por un Yucatán más mejor
franciscojavierencalada,18331081729150526,Que sea titular de la secretaria de fomento a la masmejoridad.
kevinpiniaa,17869728315209484,mucho exito diputado no se olviden del pueblo el pueblo regreso al palacio keria ver si tiene un trabajo para mi primo kleyber es avogado
srjavi.olan,18024253145391414,"No tenemos domo pero hay lluvias, gracias Juan"
