https://www.instagram.com/p/DToZMVeiJJQ/,hashtags:,#standupcomedy
username,comment_id,text
iamreneegora,18252530836290941,Te manda saludos tía migue jajajaja
d4vid_l4nder0,18051918377451018,Soy de Campeche y confirmo
violettazl,18089826002019468,Soy de Campeche y no tengo dudas pero si muchas pruebas jajaja
_agxmxz,18056492690364994,el minisplit es neta que lo ponen en el piso? JAJAJAJAJA
jairhernandezg_,18061944848312733,Dos días es mucho
jp.pino_,18070702040135419,dos días?
rodro889,18301160494281763,No le digas nada a campeche porque ya me vine a vivir acá
asaf.ba,18136627324489877,quieres una revancha juan amaro
juanmanuelopez,17994555077736858,Pon la parte chistosa por favor
adri.floresss,18044471564706568,"De @menta59 no vas a estar hablando eh 😂 
ya queremos otro show 🙌🏼✨"
mons.magg_,18152922964436344,@scorpio_machine 😂
aranzaperezm,17974216292823326,@osmar_nzperalta @diegorincon07
osmar_nzperalta,18170881375377366,@aranzaperezm mmmmm aranza jajajjaajaj
mvf.evelyn,17852798202615541,ora @lalojimenez.mx
flor.mexx,18549012607057038,@alan_hayabusa  iiiiiiihhhh la traición
