hashtags:,#ChelasHeineken,#DíaDeLaCerveza
post_url,username,comment_id,comment_text
aleirabien,17860682433206250,https://www.instagram.com/p/C-L1uU_pNl7/,😂👏
arthmurillo,17856713301229167,https://www.instagram.com/p/C-L1uU_pNl7/,😂🔥👏
elsinawinks,18361922185107547,https://www.instagram.com/p/C-L1uU_pNl7/,Que @ensyquintal de su tanda de bohemia jajaja
ensyquintal,18448473040059059,https://www.instagram.com/p/C-L1uU_pNl7/,@elsinawinks ahora le digo!!!😅😅😅😅
soypedro.99,18352790899119425,https://www.instagram.com/p/C-L1uU_pNl7/,Queremos la versión sin censura
kubiinflu,18063109006527507,https://www.instagram.com/p/C-L1uU_pNl7/,Sube la versión sin censura
felipunk0,18013364303270327,https://www.instagram.com/p/C-L1uU_pNl7/,Me encanta como agarras la boemia 🔥
yosoykaki,17953722923807408,https://www.instagram.com/p/C-L1uU_pNl7/,😂😂😂😂😂😂
eljuanamaro,17998579010645181,https://www.instagram.com/p/C-L1uU_pNl7/,@yosoykaki 😂😂😂
alvarsino,18034146545497189,https://www.instagram.com/p/C-L1uU_pNl7/,"Tqm eljuanamaro, ahora solo tomo bohemia.
#purabohemiadesdelacuna"
eljuanamaro,18073177555532451,https://www.instagram.com/p/C-L1uU_pNl7/,@alvarsino como debe ser 🙌
leodelrio6,17949639098712157,https://www.instagram.com/p/C-L1uU_pNl7/,🔥
eljuanamaro,17859227754165211,https://www.instagram.com/p/C-L1uU_pNl7/,@leodelrio6 🙈
