https://www.instagram.com/p/DNT0C3Oy_6O/,hashtags:,#CarlsJr
username,comment_id,text
_itsmrjoe_,18233914822292160,🔥🔥🔥🔥 ❤️❤️👏👏Solo q siento que se quedaron corto en tiempo para que tanta gente vaya 😥
mayblue__vqz,18088714720689073,Jajajajaja mucho éxito !!!
deivideviaje,18060476621600426,😂👏👏👏👏
torresblanca2017,18076484845790717,😍😍😍😍😍👏👏👏👏👏👏
city32.mx,17977017488888537,Los esperamos 👏
kano_acosta,17978330753744979,"Muchas felicidades, me encontré con tu contenido de repente y te va a ir muy cabrón, tienes mucho talento y estás refrescando de una manera única la comedia en este país, no solo el sureste,  yo vivo en Monterrey y ya suenas bastante y en California también, si eres international Business"
flowimagepantallas,17882499492244877,Nos vemos el viernes 🤩
karenloraynne,17941148985024618,"no todos somos international business men, quien piensa en los godinez? 😔"
tigreblanco_mx,17864461791443454,¡Nos vemos mañana! 🔥🙌🏼
_carlospasos,18040685672357813,🔝🔥
pistones_del_mayab,17856100173496072,🙌🙌🙌🙌
pepin_lopez,17896431321144558,Muy volado
jeanettesalo75_,17959619033823384,"Pero lo más importante, va ir Rigel 😂😂😂😂😂"
gabogpeace,17890739820314367,A las grandes ligas Cawn
jorgemorenomx,17847703311540061,Me mandas la limo y voy
chefhector_domes,18101194957520618,"Si es en casa de rigel, no vooy, cuando quieras una casa de alto pedorraje avísame"
guskavo_5,18311315767244906,Cawn
emilio.dorantes,18091719202664528,pero lleva gallinitas ponedoras xfa
