https://www.instagram.com/p/CcGZCuprW9V/,hashtags:,#Hipocresía
username,comment_id,text
abdielivangg,17925944891214399,A mí no me diste las gracias por arrojarte a los brazos de @emirpc . Cuando me conociste empezaste con él @cachoamaro
emirpc,17966205028603707,@abdielivangg jajaja para los celos siempre hay personas
abdielivangg,18292758220024374,@emirpc sieeeeeeeempre amico jajaja
roloncita___,17852270363723617,Feli
chuche.fotografo,17930705975137807,Ufffff 🔥🔥🔥🔥🔥🔥 te mando un beso en tu huevo
bombertomartinez,17870619239678589,yo te soporto todo lo que quieras 😳
