hashtags:,#JuanAmaroOriginal,#Hipocresía,#StandUpComedy
post_url,username,comment_id,comment_text
estudioscar,17980901968851517,https://www.instagram.com/p/CpQk-1spJ4N/,Aaa perro Adam Driver
eljuanamaro,17959085840226616,https://www.instagram.com/p/CpQk-1spJ4N/,@dioscarrosales buscando mi caballo
ninamongeote,17971748936140162,https://www.instagram.com/p/CpQk-1spJ4N/,Gracias a ti 🥹❤️ te amo mucho mi amor y va a estar INCREÍBLE!! ✨✨✨
eljuanamaro,18019278613506869,https://www.instagram.com/p/CpQk-1spJ4N/,@ninamongeote te amo más 😘🥰
pawwcampos,17966640137248690,https://www.instagram.com/p/CpQk-1spJ4N/,Eres el mejor 🔥
eljuanamaro,17962922597142156,https://www.instagram.com/p/CpQk-1spJ4N/,@pawwcampos gracias 🙏🏻 🙌
soykevinucho,17889316178788920,https://www.instagram.com/p/CpQk-1spJ4N/,@percepti @eldanniedarko @davopdl
soykevinucho,17960767769181503,https://www.instagram.com/p/CpQk-1spJ4N/,@diego_glez9 @jessyrivera96 @isabellarc
soykevinucho,17983934026802937,https://www.instagram.com/p/CpQk-1spJ4N/,@fabygarridop  @isa.picsa @isaura6705
