https://www.instagram.com/p/DNokYQuhQLi/,hashtags:,#CarlsJr
username,comment_id,text
caroesp21,17880771141374835,“No te veo desde el partido” jajaja se extrañaba…pero si ya besenseee 😂
pedroantonioleo,18481111648074434,"Hoy conocí la envidia, tenerlo así de cerca😔🤟🏻"
pistones_del_mayab,18075519757983079,Jajajaja
alvarezmorita,18019682534748271,Jajaja buena publicidad 10/10 🙌🙌❤️❤️
marianmujica,18075467474054918,Jajajajajajaja 😂 “estoy en volumen chamaca” 😂
ninamongeote,18108106828552536,Estaba paralizado y no me podía mover @kubiinflu 😂
edoardoarc,18092150200661834,😂😂😂😂😂😂👏
rigel_garcas,18070759601281724,"La asada estuvo chidisima, perdóname por no invitarte juanito"
ninamongeote,18045728537635575,Creí que se iban a terminar besando 😳
alexyanezdigital,18035750561502063,@ninamongeote jajajajajaja 😂
ninadiccii,17978883188897641,Jajajajaa por qué le quitaste el portobello a la portobello jajajaa
marissasalazarl,18095011375631721,😂😂😂😂😂
dem.meejia,17880282453379414,amooo
aaron.carrillovaladez,18055339973163441,Juan donde te puedo contactar par aun comercial
angelhharana,18074212648844843,Jajajaja ese Rígel es muy cawnnn
fa_be_zen,18051495932199673,Parece un... ¿amor no correspondido?  XD
rponcer002,17957884832986743,Jajajajajajajajaja
verita._18.06,18074715458079931,La traición tiene nombre y se llama Rigel 😢
angelquintal2023,17976423341913345,Osea comer langosta es de high pedorrage?
soyjesusfloress,17921174085014924,😂😂😂😂
domitzalof,18020171714753510,Estoy en volumen chamaca JAJAJAJAJA
edgartoostrong,18114770785454594,"en términos yuca, Caucel es una zona fea?"
willycamposr,18063674852016999,@pili_1912 cuando vamoooooo?
daricecilio,18069298433147686,@crisscoelloo
panchouc_,18090264100766130,No haz probado la de @hotburger_mid es eso
