hashtags:,#Kanasín,#MásMejor,#Yucatán
post_url,username,comment_id,comment_text
brisaglaff,18029174377866160,https://www.instagram.com/p/C6B4yVZrI93/,😂
viviana.cr18,18264082084225873,https://www.instagram.com/p/C6B4yVZrI93/,Ya tiene mi voto nomás por ser team horchata 😂
neto.celis,18122499928360748,https://www.instagram.com/p/C6B4yVZrI93/,Este broder esta haciendo la mejor campaña y no es candidato jajajaja
eljuanamaro,18037056037845240,https://www.instagram.com/p/C6B4yVZrI93/,@neto.celis todo es por y para ti mi estimado 🫡
neto.celis,18092607406423374,https://www.instagram.com/p/C6B4yVZrI93/,@eljuanamaro mi voto lo tienes
fabricio.perulles,18061366780543909,https://www.instagram.com/p/C6B4yVZrI93/,Solo ceibas?
dzavala.foto,17993173811406363,https://www.instagram.com/p/C6B4yVZrI93/,Yo me quiero sentir seguro en sus brazos mi candidato
tonypantojab,17856126219122707,https://www.instagram.com/p/C6B4yVZrI93/,Candidato sera q pueda pasar x mi casa hay una vecina q sienpre esta malablando de mi y ya me perjudico asta conmi familia para q se le arreste gracias calle 30 col el encanto casa azul de la esquina con un perro afuera
pawwcampos,18023049287494198,https://www.instagram.com/p/C6B4yVZrI93/,@tonypantojab de mi no va andar hablando
andrestraveled,17885265846028916,https://www.instagram.com/p/C6B4yVZrI93/,😂jajajaja deforestar para ser más ecológico
gerardoaiza,18032587663797977,https://www.instagram.com/p/C6B4yVZrI93/,Jajajajajajajaja 🔥
enzomarcelo_musica,17913228503834600,https://www.instagram.com/p/C6B4yVZrI93/,Jajajajajajajaja
will.mobaq,18041535946781663,https://www.instagram.com/p/C6B4yVZrI93/,"Candidato Juan Amaro, una buena propuesta sería obligar a los Yucatecos a tener un dominio del ingles por favor, necesitamos pensar en los pobres gringos que vienen a comprar nuestras casas en el Centro, no se pueden comunicar 😢"
dannymtsp,18041486563747780,https://www.instagram.com/p/C6B4yVZrI93/,No ves que ya trabajo en Netflix jajajajaja
amandasernaa8,17992562537441745,https://www.instagram.com/p/C6B4yVZrI93/,venga seguridad
maryferandrade,18034036885909573,https://www.instagram.com/p/C6B4yVZrI93/,Ni había visto el video y ya le había dado Like
pawwcampos,17913110867925647,https://www.instagram.com/p/C6B4yVZrI93/,Hola lic disculpe será que pudiera poner un Oxxo por mi casa ? Saludos
elrazikid,17861304363131149,https://www.instagram.com/p/C6B4yVZrI93/,increíble propuesta de los mototaxis 👏
