hashtags:,#Yucatán,#YucatánMásMejor
post_url,username,comment_id,comment_text
becky_opalma,18066742765497399,https://www.instagram.com/p/C4BmbqIJ30t/,JAJAAJJA
norman_8,17918595404890916,https://www.instagram.com/p/C4BmbqIJ30t/,JAJAJAJAJAJAJAJAJAAJJAJAA
dclaudiap,18056464291553281,https://www.instagram.com/p/C4BmbqIJ30t/,😢😢😢😢
david_t_phoinix,18017119976147643,https://www.instagram.com/p/C4BmbqIJ30t/,😂😂😂😂😂
davidzaldivar15,18291807364081002,https://www.instagram.com/p/C4BmbqIJ30t/,Son @tonypantojab @emmanuelcauich
emmanuelcauich,18274662361203119,https://www.instagram.com/p/C4BmbqIJ30t/,@davidzaldivar15 Tony es el de amarillo
alexanderalmasi,18013328513036361,https://www.instagram.com/p/C4BmbqIJ30t/,👏👏👏
victormedrano_zp,18218096731273665,https://www.instagram.com/p/C4BmbqIJ30t/,"Mucho animo gober , los que queremos un Yucatán + mejor somos + ánimo"
frxnkstevens,18016616291170261,https://www.instagram.com/p/C4BmbqIJ30t/,A mi me interesa Juan amaro pa gobernador
ezarmdz,18178898341295777,https://www.instagram.com/p/C4BmbqIJ30t/,joyita joyita
pawwcampos,18027585640920179,https://www.instagram.com/p/C4BmbqIJ30t/,Juan !!!!!!! Morí de risa eres lo máximo jajajajjajaa
gerardo_gallareta,17991992051375592,https://www.instagram.com/p/C4BmbqIJ30t/,Mucho más mejor ❤️
fuerenio,18412724788057824,https://www.instagram.com/p/C4BmbqIJ30t/,@chemadepie para movilidad y voto por tí
naomiantonieta,17994744518333466,https://www.instagram.com/p/C4BmbqIJ30t/,AJAJAJAJAJAJAJAJAJAJAJAJAJAAJAJ
loregarrido06,18313930345133849,https://www.instagram.com/p/C4BmbqIJ30t/,jajajajajajajajajaajajajj
emilio_palma,18017164079314988,https://www.instagram.com/p/C4BmbqIJ30t/,😂😂😂
bubucardos,17867349234076009,https://www.instagram.com/p/C4BmbqIJ30t/,Haz uno en el trenecito del centenario queridísimo Juanito
el_yuca_cabezon,18031894582883966,https://www.instagram.com/p/C4BmbqIJ30t/,Jajaajaja jajaajaja 👏👏👏👏
balandranoraul_locutor,18024004996971448,https://www.instagram.com/p/C4BmbqIJ30t/,Que les diría… jajaja
maythehm,17991589172375553,https://www.instagram.com/p/C4BmbqIJ30t/,JAJAJAJAJA
cristinadecolores,18034752175830856,https://www.instagram.com/p/C4BmbqIJ30t/,Ay poesito 😢 yo si creo que es el mas mejor 🔥
pristina.bogo,18023690551847546,https://www.instagram.com/p/C4BmbqIJ30t/,Uajajajjajaa
muno_visual,17987202545631832,https://www.instagram.com/p/C4BmbqIJ30t/,Me mató el «¿qué les diría… » en lugar de «qué me dirían…»
muno_visual,18003146588190209,https://www.instagram.com/p/C4BmbqIJ30t/,Buenísimo!
