hashtags:,#YucatánMásMejor,#Yucatán,#Mujer
post_url,username,comment_id,comment_text
auroraaumi,18316059604181321,https://www.instagram.com/p/C66fZNNriKe/,"Usted no solo debería ser Gobernador de Yucatán, usted debería buscar la presidencia, pero bueno, paso a paso."
eljuanamaro,18031488841972305,https://www.instagram.com/p/C66fZNNriKe/,"@auroraaumi quién sabe que nos depara el futuro, a mi solo me toca servir 🙌🏻"
chloe_pacheco_conaway,18149063215312283,https://www.instagram.com/p/C66fZNNriKe/,😂😂😂😂
milenialcastingmx,18142024825321661,https://www.instagram.com/p/C66fZNNriKe/,Cuenta con nosotros candidato para taller de grafitti
aireadna,17996088467389726,https://www.instagram.com/p/C66fZNNriKe/,🤣🤣🤣🫰🏾
naomiantonieta,17931447230761180,https://www.instagram.com/p/C66fZNNriKe/,JAJAJAJAJAJAJAJAJAJAJAJAJAJJAAJJAA pediremos la colaboración de las mujeres embarazadas (para meterla a trabajos incluyentes) para que orinen cientos de frascos y poder otorgar pruebas gratis + contra agresores y contra los ex castrosos. Todos trabajando por un Yucatán más mejor JAJAJAJAJAJAJAJJAJAJA
thebossllerina,17908918034952091,https://www.instagram.com/p/C66fZNNriKe/,De verdad me gusta esta propuesta !  Aprender defensa personal y una pizarra para funar agresores
eljuanamaro,18035083765899308,https://www.instagram.com/p/C66fZNNriKe/,@thebossllerina estamos a la orden 🫡 tus necesidades son mi PRIORIDAD 🤝🏻
jessi__994,18028395275096885,https://www.instagram.com/p/C66fZNNriKe/,Este 2 de julio mi voto es para Juan por un Yucatán +mejor 👏👏👏
eljuanamaro,17939081240728610,https://www.instagram.com/p/C66fZNNriKe/,@jessi__994 estamos a la orden 🫡
marianitasalg,18065352286529954,https://www.instagram.com/p/C66fZNNriKe/,😂
eljuanamaro,18080871574461584,https://www.instagram.com/p/C66fZNNriKe/,@marianitasalg 🤝🏻
cristinadecolores,18434550319009673,https://www.instagram.com/p/C66fZNNriKe/,La patria es mujerts!!! Juanamaro para presidente!!! 🔥
eljuanamaro,18034995580770659,https://www.instagram.com/p/C66fZNNriKe/,@cristinadecolores la patria es femenina 🤝🏻🫡💁🏻‍♀️
lilycamino,18238204645252852,https://www.instagram.com/p/C66fZNNriKe/,Mucho “JAJAJAJJAJA” pero estoy a 1 video de votar por ti. 🙌😂
eljuanamaro,18048747958660023,https://www.instagram.com/p/C66fZNNriKe/,@lilycamino haz lo que  tu corazón indique 🫡
michelleacevedoh,18019439624223871,https://www.instagram.com/p/C66fZNNriKe/,@eljuanamaro jajajaja lo mismo pensé! Voy a escribir tu nombre en la boleta 😂
grillopadilla1138,18008130410435160,https://www.instagram.com/p/C66fZNNriKe/,PRI-oridad… me huele a que aquí hay algo oculto 🤪 😂 (es broma jeje)
eljuanamaro,18068882734502474,https://www.instagram.com/p/C66fZNNriKe/,@grillopadilla1138 JAMÁS TRAICIONARÍA A MI PATRIA ASÍ
bcnannini,18230409649257402,https://www.instagram.com/p/C66fZNNriKe/,@eljuanamaro a tu PANTRIA?
grillopadilla1138,18026400616921239,https://www.instagram.com/p/C66fZNNriKe/,@bnjcsn 🤣🤣
vickyhevia,18098075473413511,https://www.instagram.com/p/C66fZNNriKe/,“YUCATAN más mejor” JAJAJAJAJAJA CTM
eljuanamaro,18013417727368135,https://www.instagram.com/p/C66fZNNriKe/,@vickyhevia gran escuela la CTM
vickyhevia,18431254447056321,https://www.instagram.com/p/C66fZNNriKe/,@eljuanamaro JAJAJAJAJAJAJAJAJAJAJAJAJAJAJ
vickyhevia,17886888936041218,https://www.instagram.com/p/C66fZNNriKe/,JAJAJAJAJAJAJAJAJAJAJAJA juanamaro presidente!!!
eljuanamaro,18022722104488557,https://www.instagram.com/p/C66fZNNriKe/,@vickyhevia por el momento gobernador pero si el pueblo me lo pide nos vamos a la grande 🫡
ponce.borges,18018645698056988,https://www.instagram.com/p/C66fZNNriKe/,JAJAJAJJAA
abdielivangg,18089626444433222,https://www.instagram.com/p/C66fZNNriKe/,Le gloríete de le mestize
eljuanamaro,17986417154660605,https://www.instagram.com/p/C66fZNNriKe/,@abdielivangg de negro pizarrón
misterfulanito,18351316780099063,https://www.instagram.com/p/C66fZNNriKe/,Me estoy cagando de risa.
eljuanamaro,18236225695267532,https://www.instagram.com/p/C66fZNNriKe/,@misterfulanito este tema es un tema SERIO
pawwcampos,17874340929036323,https://www.instagram.com/p/C66fZNNriKe/,Me gustaría igual que considere unos talleres de grafiti para podernos expresar mejor. Gracias
eljuanamaro,18029056235054837,https://www.instagram.com/p/C66fZNNriKe/,@pawwcampos gran propuesta 🫡
charsschan,18133924417333140,https://www.instagram.com/p/C66fZNNriKe/,😂😂😂
eljuanamaro,18014835752348781,https://www.instagram.com/p/C66fZNNriKe/,@charsschan 💜🧡💙
reginaarandabargas,18025898824904140,https://www.instagram.com/p/C66fZNNriKe/,"Me encanta que hayan pizarrones en lugar de monumentos , mejor propuesta ever"
eljuanamaro,18435880369046809,https://www.instagram.com/p/C66fZNNriKe/,@reginaarandabargas la prioridad será la libertad de expresión 🫡
reginaarandabargas,18314145037179429,https://www.instagram.com/p/C66fZNNriKe/,😂😂😂
emilio_palma,18441394885032258,https://www.instagram.com/p/C66fZNNriKe/,Increíble 👏👏👏
eljuanamaro,17931519533845218,https://www.instagram.com/p/C66fZNNriKe/,@emilio_palma a la orden 🫡
