hashtags:,#standup,#standupcomedy,#comedia
post_url,username,comment_id,comment_text
100fuegosx,18019476536029552,https://www.instagram.com/p/C2-j7x9JQeD/,🔥
laia_nunez,18013106492492347,https://www.instagram.com/p/C2-j7x9JQeD/,👏👏👏👏
eljuanamaro,17904941864843206,https://www.instagram.com/p/C2-j7x9JQeD/,@laia_nunez 🙌🙌🙌
marielapalma,18312941401193821,https://www.instagram.com/p/C2-j7x9JQeD/,Yo quiero pero gratis
rogermendez7,18054733558536328,https://www.instagram.com/p/C2-j7x9JQeD/,@viclukas
robalarcon_,18253692907175311,https://www.instagram.com/p/C2-j7x9JQeD/,Compren sus boletos para que me pague por abrir porfa
robalarcon_,17870310837056089,https://www.instagram.com/p/C2-j7x9JQeD/,Lo de chistes buenos lo dijo porque voy a abrir el show. Allá nos vemos 💥
ninamongeote,17962766906696021,https://www.instagram.com/p/C2-j7x9JQeD/,🔥🔥🔥🔥
ninamongeote,18020329580060156,https://www.instagram.com/p/C2-j7x9JQeD/,😍😍😍😍
